# {"t_start": 1591415659.223302, "env_id": "Block2D-v1"} 
r,l,t
-64.82129,97,420.343916
-55.78859,91,420.385496
-66.984052,99,420.477043
-57.994755,92,420.518728
-55.523511,90,420.561999
-60.168733,92,420.607283
-60.282329,93,420.697051
-58.493035,91,420.740225
-57.710779,92,420.786008
-63.233143,94,420.831792
-62.517414,96,420.876944
-57.080282,91,420.963763
-55.731584,90,421.00815
-57.116266,92,421.052923
-59.664606,93,421.09741
-59.416079,94,421.141806
-54.934064,89,421.183694
-53.682543,88,421.229927
-57.552925,91,421.27622
-59.169534,93,421.322003
-53.008569,88,421.451138
-68.511166,98,421.499192
-57.267089,93,421.541475
-55.248033,89,421.583768
-57.645484,90,421.628162
-60.408365,94,421.673834
-59.417242,92,421.717467
-54.871089,88,421.759723
-65.659068,95,421.80805
-58.005914,92,421.850533
-60.449271,95,421.895718
-62.77376,97,421.940651
-59.969837,93,422.158097
-54.009838,88,438.543625
-60.179424,94,438.589703
-58.504626,91,438.630472
-55.413175,90,438.672314
-59.609071,92,438.714989
-52.627559,88,438.755889
-63.457173,97,438.80353
-61.140532,94,438.844926
-62.08919,91,438.885667
-58.915601,92,438.970973
-53.85678,88,439.011238
-52.412848,86,439.052381
-56.523385,88,439.095171
-52.387921,86,439.178453
-50.413876,86,439.220478
-61.279357,96,439.267319
-53.525875,87,439.349153
-58.727495,91,439.393188
-57.586625,92,439.478006
-56.915801,92,439.520083
-54.382005,90,439.561372
-59.045843,93,439.60459
-56.814149,89,439.687301
-53.319549,88,439.771804
-53.572618,86,439.814375
-54.536026,89,439.899985
-57.670764,90,439.942609
-58.972476,91,439.985191
-55.356845,90,440.026946
-57.404193,91,440.069695
-63.699374,94,440.113092
-58.4253,92,440.251143
-66.270256,97,440.389774
-55.868578,91,440.431655
-56.575179,90,440.475674
-66.110976,99,440.523668
-57.892047,92,440.564981
-61.486513,94,440.610147
-55.238321,89,440.65199
-53.673549,89,440.740211
-57.808804,91,440.785645
-58.532478,91,440.830451
-59.568031,93,440.875981
-59.948302,93,441.009095
-60.173545,94,441.053908
-55.14146,88,441.095541
-58.883921,93,441.141461
-56.775564,90,441.184437
-57.515264,92,441.230516
-52.796226,87,441.272505
-54.721497,89,441.318386
-57.37908,92,441.36438
-62.199117,96,441.410616
-65.722865,100,441.456537
-55.20319,90,441.495307
-63.003292,97,441.539962
-59.759325,92,441.579478
-58.896385,91,441.620854
-61.175189,94,441.663789
-54.71203,89,441.703165
-55.495946,88,441.745117
-60.435498,93,441.788977
-62.073415,93,441.83213
-62.072648,97,441.875898
-62.322006,95,441.917168
-53.342812,87,441.955812
-56.701178,90,458.279141
-67.764959,100,458.413907
-57.292422,87,458.449885
-52.641116,88,458.533061
-59.221107,94,458.618426
-62.33271,98,458.662146
-55.335058,89,458.699916
-53.889924,89,458.741828
-53.110449,87,458.782587
-58.923142,91,458.826079
-53.251758,89,458.90855
-58.898137,92,458.951254
-55.574224,91,458.992377
-60.981024,93,459.034738
-67.321721,96,459.077268
-53.943967,89,459.115622
-53.273997,88,459.158209
-55.69916,92,459.203692
-59.213996,92,459.247262
-60.040092,94,459.291753
-56.854902,90,459.333702
-58.623987,90,459.377859
-57.249873,93,459.466435
-57.024323,92,459.509409
-60.861086,95,459.554212
-55.38411,90,459.595271
-57.717785,92,459.640076
-55.13735,90,459.683067
-66.520718,96,459.729013
-62.557605,94,459.77163
-56.678703,90,459.857403
-60.181376,95,459.903123
-53.930497,87,459.943077
-56.750708,90,460.031361
-60.650149,93,460.076156
-61.297377,95,460.120477
-56.095678,91,460.162655
-58.280686,90,460.205757
