# {"t_start": 1591171830.5551333, "env_id": "Block2D-v1"} 
r,l,t
-246.359549,150,262.931057
-274.681149,149,292.231843
-277.577821,150,298.056576
-263.126301,143,328.506955
-248.333501,136,333.146115
-253.11068,141,362.827633
-242.85585,148,363.797378
-249.471057,146,389.230012
-245.272267,148,389.616204
-242.54664,135,392.912845
-242.630953,149,417.890623
-254.683673,149,420.038653
-254.782944,142,422.727579
-229.881244,130,424.613007
-212.166764,126,449.295614
-241.389185,142,449.444647
-214.928076,132,450.689695
-220.613223,145,455.339559
-250.422927,140,479.872828
-240.575538,148,482.753614
-234.021661,147,483.354043
-232.047104,130,485.603116
-216.886188,141,486.38494
-226.247375,128,486.704891
-210.743835,140,512.415236
-209.546406,126,513.487514
-200.242857,120,513.893964
-205.48183,131,514.056144
-230.33837,137,514.954328
-224.733868,136,517.504142
-209.404233,132,518.377351
-190.270115,118,519.938708
-248.866903,143,570.015292
-218.882014,139,571.019991
-198.104417,118,572.032822
-213.868286,139,576.67991
-208.517648,133,578.086904
-206.237,119,603.782577
-196.939307,131,605.066024
-183.28779,112,605.135872
-199.923113,125,606.139702
-199.550366,121,606.211074
-192.406641,132,606.474842
-180.363136,112,607.062665
-210.177604,122,607.203556
-196.058996,120,608.525568
-195.706858,136,608.755163
-197.76065,121,609.071242
-180.214976,130,609.438514
-207.612113,123,609.680377
-217.473685,136,609.762313
-185.903521,119,611.130937
-162.255464,111,612.103944
-205.100853,120,612.255629
-199.147125,129,634.457433
-194.651106,117,634.527092
-188.951204,114,635.573601
-190.600228,125,635.7936
-205.175157,135,636.194805
-185.811335,115,636.655143
-223.260866,141,637.152544
-212.969689,144,637.610149
-173.832271,109,638.019868
-212.430383,139,638.355192
-212.836242,133,639.123649
-205.331983,132,639.358203
-189.906668,114,640.402022
-193.58072,119,640.691986
-173.599605,109,641.755874
-205.837266,137,641.836294
-187.895827,124,664.347845
-199.228761,121,664.70292
-217.913404,137,665.134179
-197.967103,128,665.27677
-206.784756,133,665.353973
-201.039205,142,665.6882
-182.467929,111,666.140135
-189.634441,130,666.432629
-179.866181,118,666.646024
-209.82681,122,667.497236
-196.613822,132,667.795004
-189.075318,114,667.996267
-191.2387,121,668.310887
-208.039801,149,668.465135
-212.420226,149,668.534688
-195.073056,119,670.300626
-185.582195,135,670.547369
-168.329873,107,671.434177
-198.587069,132,694.148073
-179.031493,114,694.352199
-198.663897,117,694.488556
-197.262001,130,694.697082
-185.256513,113,694.824548
-193.491145,126,694.898894
-182.646052,115,695.031122
-183.851781,117,695.097606
-188.621199,115,695.237743
-181.724266,119,695.312022
-198.963866,130,695.537756
-191.803521,120,695.603146
-198.605164,138,695.684357
-194.726403,129,695.750621
-189.756397,125,695.921629
-184.776405,114,696.074521
-197.191039,117,696.41827
-182.565246,119,697.17439
-193.02062,125,697.297221
-203.824537,126,697.851973
-199.837631,123,698.269108
-196.303835,117,698.795949
-190.180206,121,699.108635
-168.639248,111,699.930797
-193.851207,121,700.129252
-188.469902,121,700.764216
-176.404245,109,700.830966
-177.957941,114,700.911329
-197.233908,121,701.07444
-184.733198,112,701.355696
-177.206959,110,701.640121
-172.634513,108,702.063206
-201.287559,128,702.283484
-206.071129,120,724.58331
-186.082841,115,724.837187
-195.484843,114,724.90593
-200.156486,122,724.992108
-189.260358,122,725.663472
-196.086263,123,725.88227
-177.082649,119,726.059032
-188.575047,114,726.574861
-195.57682,127,726.865219
-191.252082,122,726.95294
-187.886393,127,727.744739
-200.529265,124,727.860467
-203.274498,136,728.373085
-193.430014,134,728.734198
-199.503142,134,728.85126
-186.731822,114,729.416695
-201.718302,135,730.2178
-187.85053,117,730.407318
-180.822719,110,730.730514
-167.066462,105,730.793545
-196.377338,125,730.933942
-185.866771,120,731.063139
-201.159822,134,731.26458
-187.696077,120,731.521141
-177.284557,109,731.731817
-214.660359,148,732.206041
-195.239792,127,732.312949
-184.578428,122,732.611531
-183.480679,123,732.682779
-180.842569,117,754.632805
-199.576864,128,754.752774
-177.06861,109,755.006993
-190.075044,122,755.243597
-202.498986,131,755.478886
-189.822832,114,755.610933
-181.49625,117,755.754567
-194.492776,127,756.177256
-174.646782,108,756.770536
-188.324362,118,757.758779
-181.573474,114,759.623783
-186.208923,123,760.071254
-197.705915,128,760.147032
-180.429566,112,760.285311
-182.256682,116,760.653659
-197.458328,123,762.126747
-173.083346,108,762.578351
-204.413641,126,762.791208
-200.289547,126,784.559419
-193.412269,120,784.637758
-205.34545,129,784.717298
-198.723128,124,784.935578
-198.42825,126,785.307479
-190.019075,119,786.494003
-184.609213,113,787.049865
-195.029793,126,787.308624
-187.59248,123,787.387041
-180.971115,114,788.055936
-198.032974,131,788.138709
-184.587253,116,788.205916
-190.697316,121,788.643539
-186.305373,120,788.779129
-170.047042,109,789.001617
-187.421351,125,789.261068
-210.532708,139,789.708082
-188.511136,113,790.142707
-171.535675,108,790.359997
-188.703397,119,790.582358
-218.236327,143,790.732056
-207.532616,140,791.012999
-192.810965,114,791.071657
-183.313027,118,791.140628
-225.389839,149,791.465727
-197.001187,126,791.587414
-184.72914,120,791.652904
-194.464694,116,792.161941
-192.338895,119,792.237349
-207.309706,142,813.689745
-191.403346,125,813.912093
-192.867219,124,814.128183
-200.25624,140,814.368385
-179.43542,111,814.542522
-188.402239,122,814.693768
-185.700215,112,814.762086
-187.312183,114,815.834468
-178.785874,111,815.90872
-187.366097,121,815.984367
-200.831449,130,816.057478
-198.713904,131,816.300995
-175.90925,108,816.364914
-202.070846,137,816.455116
-206.301901,149,816.601152
-203.1281,126,816.736861
-190.054776,115,816.83352
-167.430459,107,817.064677
-179.092752,114,817.154247
-204.118353,127,817.656005
-189.684464,121,817.959761
-182.329117,123,818.039703
-196.088312,125,818.116897
-176.299783,109,818.183929
-192.551157,125,818.25998
-199.126223,130,819.258809
-218.580434,146,819.413672
-186.961679,115,819.946944
-197.153202,126,820.924271
-186.294468,113,821.013435
-170.613265,114,821.084831
-206.527439,141,821.167261
-199.194971,138,821.253055
-181.406896,110,821.670297
-190.058795,118,822.084106
-194.189144,124,822.157806
-172.489326,108,823.071228
-202.462262,138,823.152799
-183.597357,123,823.339968
-190.669603,137,823.450236
-215.51076,145,843.872369
-184.19977,121,843.959421
-180.587516,110,844.431841
-178.471125,116,844.687123
-166.60507,104,844.887315
-208.829198,128,845.074477
-208.64241,130,845.239131
-189.718394,124,845.494669
-212.54032,127,845.650085
-186.278074,120,846.37165
-178.452909,112,846.565344
-177.673125,119,847.159295
-182.618689,120,847.231601
-191.499957,116,847.34292
-180.985707,119,847.438318
-178.580688,110,847.573951
-180.586971,117,848.283355
-226.552655,149,848.531341
-207.826577,147,848.607259
-184.613228,120,848.964168
-199.255602,126,849.090256
-184.394427,120,849.242972
-181.544335,115,849.317402
-197.427608,132,849.497913
-174.886493,113,849.726286
-183.32814,121,849.851096
-182.343259,110,849.957973
-191.863309,115,850.186379
-194.88914,125,850.411371
-182.907357,131,850.486845
-197.32988,129,850.557104
-203.796662,138,850.786799
-197.598577,117,851.089421
-202.456931,138,851.270382
-208.20846,146,851.355574
-210.569109,130,851.76399
-207.862617,140,851.836248
-198.305441,135,852.0664
-192.674554,119,852.129903
-198.448303,127,852.366215
-207.067446,140,852.4493
-191.449924,120,852.752987
-211.387792,145,853.045001
-180.708297,112,853.618549
-197.363865,125,853.774116
-197.82156,134,874.54811
-186.20602,130,874.865891
-182.37052,133,875.102079
-170.028101,112,875.279108
-178.421525,118,875.448496
-188.302439,113,875.580643
-184.125298,111,875.719316
-195.925663,124,875.876319
-209.691135,129,875.952142
-179.133926,115,876.022896
-192.62911,123,876.106148
-200.034091,141,876.364757
-201.648443,122,876.607127
-201.175042,127,876.889574
-197.353675,136,877.148932
-175.747319,113,877.287722
-191.200432,133,877.408515
-196.401701,123,877.510705
-181.5362,110,877.653396
-182.879222,121,877.877827
-198.885257,131,877.955349
-203.553382,126,878.03044
-188.309981,117,878.099803
-190.440234,120,878.244519
-200.371823,123,878.608669
-196.758636,122,878.809518
-202.809059,134,879.092633
-194.761961,128,879.236578
-202.35418,132,879.463583
-196.932854,129,879.601026
-180.482272,109,879.669679
-181.453223,121,880.067398
-190.431196,123,880.367721
-184.260663,120,880.575374
-181.512838,119,880.646864
-183.107441,111,880.765387
-195.799794,119,880.842832
-185.596275,118,880.925907
-193.864952,125,881.016189
-179.316131,118,881.152605
-197.266106,133,881.381656
-194.541867,129,881.475254
-180.472957,118,881.584592
-185.802507,114,881.702448
-190.223532,127,881.830499
-201.231004,125,881.90501
-196.993199,142,881.984759
-186.688539,112,882.047715
-191.342075,122,882.269505
-187.78492,113,882.338225
-196.742653,130,882.436776
-209.303651,131,882.595446
-174.347587,109,882.84765
-184.528172,115,882.924881
-219.287432,148,883.016295
-194.997666,134,903.156055
-188.133075,129,903.302737
-165.95274,111,903.363078
-182.610892,117,903.432436
-200.410388,135,903.510141
-176.493631,110,903.644677
-182.529574,119,903.720127
-199.377086,125,903.800275
-172.791539,107,904.172036
-169.925602,106,904.526752
-190.326077,126,904.611801
-185.957542,120,904.679289
-174.954253,112,904.747257
-182.872153,119,904.914997
-205.97849,139,905.029943
-169.638997,115,905.095499
-185.733813,116,905.248266
-211.483086,143,905.37659
-170.436561,116,906.024019
-194.11463,124,906.568612
-189.040434,117,906.681859
-197.526478,137,906.808244
-198.535162,124,907.087609
-191.554628,123,907.514978
-206.048865,141,908.254003
-181.611123,109,908.518828
-181.493998,119,908.646841
-181.784674,113,908.715952
-178.563537,108,908.925574
-180.864005,111,909.071544
-214.593643,141,909.368478
-192.074834,133,909.454633
-187.663952,118,909.52275
-172.00213,114,909.615289
-186.85687,125,909.715128
-191.304039,120,909.784101
-169.220952,115,910.015502
-190.400514,124,910.095027
-176.394282,118,910.30978
-186.255947,114,910.533565
-183.13616,112,910.90081
-216.648395,141,911.055983
-187.369963,116,911.255441
-180.891373,120,911.407974
-174.34209,113,911.481927
-191.487986,126,912.177944
-180.219025,119,912.257398
-172.535167,111,912.33297
-195.784999,140,934.905742
-182.800975,115,935.056937
-208.7286,143,935.326103
-170.456104,106,935.389434
-188.944178,120,935.550328
-182.0436,110,935.763224
-186.163258,114,935.83498
-183.813562,130,935.912837
-177.746117,118,935.985586
-179.482087,118,936.066728
-163.937087,113,936.14908
-177.644491,112,936.225823
-176.456457,116,936.381667
-177.964387,112,936.446591
-214.196975,146,936.529808
-175.166007,112,936.73749
-185.360962,116,936.806374
-196.465802,131,936.921293
-189.774573,132,937.064644
-194.449128,131,937.206168
-170.589054,107,937.345303
-183.809812,118,937.512269
-188.132236,119,937.722219
-178.099958,109,938.104442
-191.442612,127,938.574486
-174.872533,119,938.649886
-190.49206,122,938.723986
-200.37983,136,938.876815
-174.456845,112,938.939696
-160.680505,103,939.009806
-186.979056,121,939.097723
-180.521368,119,939.311916
-172.479613,111,939.381054
-188.15381,119,939.558751
-179.255495,117,939.632529
-170.418147,106,939.703684
-173.291565,115,939.78456
-186.822367,118,940.078337
-183.360432,118,940.151295
-190.376893,125,940.355842
-190.137909,117,940.476212
-210.407228,143,940.598754
-176.85558,109,940.655463
-171.413668,115,940.751418
-188.342123,118,940.831365
-171.611444,117,940.913425
-208.286572,141,941.024291
-173.070583,113,941.087823
-204.665114,138,941.171843
-173.823388,108,941.320792
-190.093595,127,941.403529
-175.644743,121,941.615234
-196.021256,131,941.853259
-172.079482,119,941.965328
-196.813473,130,942.240703
-175.492778,117,942.307311
-176.681592,110,942.382464
-175.487973,116,942.471896
-214.883867,146,942.562273
-198.657959,135,942.640131
-167.576153,114,942.73523
-200.240924,126,943.164871
-192.418493,125,943.443007
-172.104561,111,943.512682
-184.194189,120,943.680984
-158.80577,108,943.766944
-195.54801,117,943.840353
-200.8637,136,943.920257
-176.46234,115,943.982893
-166.164565,109,944.062191
-182.931029,119,944.13909
-185.783887,127,966.261337
-184.269501,116,966.398583
-186.339458,124,966.620196
-204.027947,145,966.785436
-185.249805,122,966.934956
-183.443024,119,967.103721
-186.103274,128,967.222989
-173.797067,116,967.386582
-181.499835,116,967.553481
-186.872639,125,967.776299
-172.556291,108,968.063296
-181.434003,120,968.140351
-205.264632,145,968.377302
-210.99453,146,968.456838
-186.708299,127,968.517424
-178.313736,117,968.585994
-176.67707,118,968.65874
-207.870856,144,968.912077
-180.326413,119,969.151641
-197.824908,128,969.275604
-172.670472,107,969.375347
-177.571753,116,969.539521
-180.78469,121,969.786266
-174.187203,114,969.852092
-190.702883,137,970.083156
-180.837847,120,970.151244
-190.098423,120,970.298111
-165.035216,115,970.364254
-188.83344,123,970.479341
-190.263609,113,970.587722
-185.503174,135,970.839662
-175.03801,113,970.940314
-186.76504,137,971.026895
-197.466332,143,971.100804
-183.559399,125,971.302118
-181.030819,109,971.373579
-196.00742,141,971.471195
-181.225912,122,971.530735
-174.579228,115,971.599977
-183.551299,119,971.673182
-195.058303,135,972.231986
-197.340173,136,972.302573
-184.624462,120,972.439374
-195.522722,129,972.523165
-180.673054,117,972.706796
-184.727223,130,972.78827
-174.407115,111,972.949672
-168.231777,112,973.125062
-177.273969,118,973.20902
-180.406523,115,973.353691
-172.433255,112,973.573707
-198.772464,137,973.970075
-183.72371,111,974.028485
-175.442314,107,974.098255
-172.58109,115,974.221783
-184.104506,119,974.625016
-179.495675,129,974.836544
-174.344777,114,974.89761
-187.117502,133,975.065651
-176.974016,107,996.175102
-194.944318,136,996.268908
-179.512971,119,996.335838
-193.428467,132,996.416297
-171.910519,112,996.479033
-177.847543,118,996.646355
-188.065731,134,996.728971
-165.338474,103,996.787238
-170.62491,105,996.862084
-179.27297,120,996.942773
-184.740712,120,997.093332
-161.329991,106,997.157487
-171.023506,114,997.394113
-188.250758,122,997.640992
-175.347834,115,997.802331
-164.096814,110,997.921849
-172.87179,111,997.997553
-181.006879,133,998.091994
-167.516657,108,998.15346
-193.0042,144,998.310168
-194.835442,132,998.376182
-183.880478,116,998.453879
-189.304329,122,998.619647
-199.694877,136,998.702041
-184.045765,125,998.772946
-164.514398,104,998.985867
-192.125603,121,999.064145
-172.379172,113,999.207309
-181.746815,109,999.365684
-172.814739,111,999.435729
-178.042755,117,999.519957
-171.771229,110,999.620301
-192.21652,136,999.90176
-185.535891,118,1000.005113
-192.254643,131,1000.101913
-181.142013,124,1000.169307
-178.219786,122,1000.314124
-171.553752,107,1000.378724
-191.893169,120,1000.456768
-169.039005,110,1000.542082
-205.95688,139,1000.636078
-175.48294,109,1000.696485
-187.784431,123,1000.95155
-173.666785,114,1001.034178
-184.228791,109,1001.346751
-186.534993,113,1001.501869
-173.322248,108,1001.582686
-201.961641,141,1001.753963
-192.245158,138,1001.826696
-184.895982,116,1001.886193
-168.124587,106,1001.952661
-173.027562,116,1002.210447
-192.236609,128,1002.372064
-191.854195,119,1003.117928
-188.751467,117,1003.306906
-168.72016,111,1003.378997
-179.584904,123,1003.461478
-178.950041,107,1003.528636
-181.599561,109,1003.604542
-186.399211,138,1003.827455
-176.922891,118,1003.889765
-188.59802,112,1004.034516
-194.353807,128,1004.113083
-190.544143,121,1004.281416
-189.10425,120,1004.360785
-168.855384,108,1004.771161
-171.444626,114,1004.984571
-186.256914,121,1005.121848
-193.931147,123,1005.192235
-184.562633,123,1005.261083
-173.234229,115,1027.66352
-183.587058,125,1027.814296
-173.36842,104,1027.877796
-183.710904,132,1027.959806
-174.580228,115,1028.0271
-176.149449,112,1028.111666
-185.81125,126,1028.258546
-175.5663,114,1028.324411
-183.494427,129,1028.49853
-190.06374,131,1028.570767
-177.66213,116,1028.63882
-174.989187,111,1028.880019
-183.970096,118,1029.09082
-190.902684,129,1029.188798
-174.19728,113,1029.2593
-185.318411,131,1029.474558
-199.280709,138,1029.583901
-182.647583,130,1029.665015
-174.026619,115,1029.805547
-177.543224,108,1029.879443
-192.172217,131,1029.961326
-177.560484,115,1030.025149
-179.345955,122,1030.176769
-178.034278,114,1030.247868
-159.089334,105,1030.318232
-189.586518,132,1030.477415
-182.51072,126,1030.554967
-169.393518,110,1030.692208
-171.556454,110,1030.904869
-187.909094,116,1031.009278
-197.669995,140,1031.09618
-170.062976,113,1031.15179
-179.087831,115,1031.466264
-193.136891,134,1031.595161
-180.293682,125,1031.706571
-181.205181,117,1032.10745
-174.20416,116,1032.281347
-183.446015,122,1032.353096
-188.653587,125,1032.424263
-189.871145,132,1032.499432
-196.81415,137,1032.595356
-171.189581,109,1032.795356
-177.937344,119,1032.900975
-183.116594,132,1032.994076
-183.596036,120,1033.159493
-188.617147,122,1033.35321
-194.805573,125,1033.454077
-181.818752,122,1033.52704
-182.469593,122,1033.596697
-198.45451,142,1033.688246
-159.675825,109,1033.834762
-197.17669,140,1034.170175
-200.76104,137,1034.279792
-168.112269,112,1034.347539
-194.733811,135,1034.439553
-178.620268,108,1034.505061
-195.539562,137,1034.598443
-175.686114,114,1034.660166
-174.576452,115,1035.415939
-184.656739,129,1035.734053
-171.447272,114,1035.929096
-173.834275,111,1036.003002
-180.857836,130,1036.097926
-195.678903,136,1036.316501
-189.629324,129,1036.393446
-179.626774,119,1036.56677
-177.336522,121,1036.639661
-162.318023,108,1058.629395
-181.058339,121,1058.70853
-179.193939,127,1058.787465
-179.796558,127,1059.16416
-178.509025,119,1059.540089
-174.407927,109,1059.660608
-187.232665,123,1059.739456
-183.684764,122,1059.971012
-172.431901,119,1060.341856
-188.83644,133,1060.460326
-175.435852,121,1060.529059
-169.757398,104,1060.599303
-199.762909,137,1060.856301
-168.549205,112,1060.913582
-187.628151,127,1060.992569
-169.497782,114,1061.057043
-173.348562,113,1061.152106
-171.863758,114,1061.264401
-168.918549,117,1061.377114
-176.607664,116,1061.47497
-165.088576,107,1061.576762
-198.425172,139,1061.833791
-171.167377,114,1061.899952
-183.805741,123,1062.060135
-180.057048,122,1062.132707
-174.991088,114,1062.201148
-185.32577,133,1062.391145
-172.945436,120,1062.535746
-172.070006,106,1062.6274
-172.989632,111,1062.815344
-173.811887,104,1062.882994
-177.374211,117,1063.158525
-169.549756,109,1063.377813
-196.50003,141,1063.592203
-156.881185,107,1063.749514
-167.558182,114,1063.861243
-172.204991,112,1063.939225
-175.957922,116,1064.429293
-181.569456,130,1064.54235
-168.092552,111,1064.718656
-186.239445,127,1064.798986
-184.500225,125,1065.011555
-175.718235,120,1065.155546
-159.414556,109,1065.216611
-168.998762,112,1065.282972
-171.014924,113,1065.352197
-187.113474,126,1065.494167
-193.276773,130,1065.636158
-169.326794,114,1065.771001
-172.13255,125,1065.8513
-162.730871,115,1065.918397
-178.734099,116,1066.065981
-177.638265,125,1066.141943
-176.628668,128,1066.429087
-172.903364,114,1066.494088
-169.558017,113,1066.656188
-198.963298,137,1066.739992
-160.084456,99,1066.799234
-165.126829,107,1066.883983
-178.51395,116,1066.962842
-172.34461,111,1067.127501
-180.941289,129,1067.352322
-172.65269,118,1067.418019
-186.104943,119,1067.567898
-165.612957,111,1067.72112
-182.61758,116,1067.797155
-182.956424,123,1067.908131
-176.137929,122,1067.984828
-173.252483,129,1068.055809
-166.309161,116,1068.126076
-182.341566,121,1068.274568
-177.302834,117,1068.351433
-169.829393,122,1068.423846
-175.012382,106,1068.48839
-196.27803,124,1068.573958
-163.244477,114,1091.484318
-157.332348,109,1091.547455
-168.778028,106,1091.678846
-199.379541,132,1091.758872
-180.638044,119,1091.826961
-172.541369,118,1091.899586
-176.470227,123,1091.968985
-165.846982,113,1092.06156
-184.90567,114,1092.219361
-195.459698,131,1092.300198
-192.157405,122,1092.41931
-195.467204,139,1092.547187
-183.423488,127,1092.616364
-159.358617,108,1092.678069
-174.247652,123,1092.838459
-171.151164,113,1093.00105
-177.714315,117,1093.150575
-170.761204,116,1093.219694
-178.462317,116,1093.288348
-174.163469,104,1093.34995
-191.055365,128,1093.4334
-155.824249,106,1093.59947
-179.476173,116,1093.745584
-169.074584,103,1093.997836
-179.495613,134,1094.082393
-162.328529,112,1094.243245
-183.937919,120,1094.333241
-176.543645,123,1094.405581
-174.514604,115,1094.4775
-171.84474,117,1094.543452
-169.873938,104,1094.605477
-169.853951,115,1094.676843
-183.287013,119,1094.747623
-193.034997,128,1094.846397
-191.683767,132,1094.966432
-178.572426,131,1095.064867
-165.237939,111,1095.125522
-152.130179,99,1095.186573
-176.19004,116,1095.311755
-173.865923,104,1095.392603
-170.163026,112,1095.659991
-164.522188,115,1095.732545
-174.13751,119,1095.801387
-163.276206,110,1095.866045
-186.048577,136,1095.949558
-184.599981,121,1096.01172
-151.461575,97,1096.253452
-173.808408,115,1096.328614
-183.799568,127,1096.398216
-182.951201,128,1096.612028
-177.499786,113,1096.674863
-176.804207,113,1096.766792
-196.052987,129,1096.888637
-172.690077,116,1097.104624
-160.992793,101,1097.210029
-196.546865,130,1097.307276
-188.771307,128,1097.376235
-197.820418,137,1097.519855
-182.881073,118,1097.623174
-178.011951,111,1097.762311
-165.154146,102,1097.899652
-156.659312,108,1098.049892
-170.648257,121,1098.124331
-177.001049,112,1098.187232
-178.269624,125,1098.277207
-167.519703,110,1098.340132
-172.546073,109,1098.428781
-170.065183,121,1098.581665
-217.050794,142,1098.6567
-178.140779,118,1098.713906
-184.932858,114,1098.851564
-182.195439,117,1098.925466
-174.535971,105,1098.989037
-170.607067,108,1099.058739
-169.626782,103,1099.123654
-185.484415,121,1099.199136
-179.84758,118,1099.266587
-159.185565,112,1099.480521
-188.657385,133,1099.848841
-182.561076,108,1121.175092
-178.965737,112,1121.245291
-167.256811,108,1121.312143
-177.634549,116,1121.385753
-164.838877,116,1121.457017
-171.814336,105,1121.523623
-176.989325,115,1121.639251
-176.764692,106,1121.72416
-167.954891,113,1121.865868
-162.8944,102,1121.931857
-172.275821,113,1122.012289
-173.908214,115,1122.111239
-160.84682,108,1122.218832
-168.791058,109,1122.379085
-198.858071,131,1122.46518
-171.827185,109,1122.528932
-174.284999,113,1122.63702
-163.092421,115,1122.710571
-189.752379,129,1122.80378
-184.838723,120,1122.871776
-172.111608,113,1122.938827
-171.134162,118,1123.086711
-166.971643,123,1123.162243
-186.128569,127,1123.238572
-166.325383,113,1123.316086
-173.91264,116,1123.424545
-170.543457,118,1123.493597
-182.002094,120,1123.564425
-156.488103,100,1123.63038
-169.867248,113,1123.895681
-177.538297,112,1123.97543
