# {"t_start": 1591185568.5992846, "env_id": "Block2D-v1"} 
r,l,t
-268.267011,144,520.347507
-249.604032,138,520.683175
-262.753279,139,522.899583
-253.209117,139,589.119092
-253.470424,150,589.268457
-243.649854,134,590.927921
-258.027438,145,591.825025
-242.432538,142,592.110311
-250.739645,149,592.966004
-246.070662,132,614.334378
-231.618023,138,615.798203
-241.733234,133,616.784492
-248.386716,143,635.668111
-157.025437,107,661.722465
-171.461205,113,684.206742
-170.166565,122,684.416409
-155.680488,119,705.908006
-166.685757,118,707.468149
-168.225884,110,731.287196
-150.058481,105,732.331425
-146.867916,105,758.207623
-150.765583,113,778.535642
-137.630544,102,799.219663
-132.86597,101,800.990434
-145.409764,110,805.848123
-142.873877,103,824.198397
-143.325351,103,825.182621
-142.12077,101,825.394976
-133.296031,101,825.466092
-136.071917,101,825.535667
-169.196374,148,846.951994
-138.185999,102,848.829956
-141.846862,102,849.097011
-137.95598,104,849.950547
-130.256311,104,850.99193
-134.966668,106,851.060626
-126.48841,101,869.497155
-132.189016,105,870.999222
-156.883825,149,871.432989
-129.976903,99,871.552631
-165.428846,149,873.546652
-142.258878,106,874.989788
-130.211038,98,876.133169
-139.832073,103,876.502019
-143.756237,106,893.567953
-125.738779,100,895.149052
-135.003397,104,896.97939
-130.228797,101,898.404943
-129.928224,101,899.469217
-130.080498,98,899.608234
-135.782348,101,918.180751
-131.040733,97,918.453699
-160.938122,150,918.62044
-128.007469,98,919.673722
-133.82349,101,920.460445
-138.510642,105,921.376222
-128.321987,102,922.159135
-131.977162,102,922.449819
-134.619173,128,922.683209
-142.455904,106,923.041604
-151.49132,140,923.558053
-137.468394,104,923.612508
-151.62789,146,923.776171
-129.740821,102,940.84829
-138.708346,139,940.936623
-147.144613,137,941.077881
-128.218723,101,942.989709
-143.920221,137,943.360046
-120.596615,98,943.631616
-132.537422,101,944.637388
-126.72885,98,944.982949
-129.253906,101,945.053772
-124.071897,99,945.33399
-126.139308,100,945.542501
-114.373612,92,946.176015
-119.620416,98,946.725023
-130.152205,97,947.144808
-154.224419,142,947.236593
-154.42972,140,947.735897
-129.258055,98,965.204034
-131.587195,101,965.273404
-123.329017,97,965.75651
-145.137307,131,965.840117
-125.908987,100,966.757171
-121.273986,95,967.167973
-123.189132,95,967.382651
-137.787464,134,967.543314
-125.435432,97,968.152251
-120.844219,97,968.293312
-131.644903,99,968.713504
-132.143974,102,969.141296
-121.328545,98,969.421295
-127.944351,101,969.562208
-139.055798,144,969.867114
-116.093709,95,970.973037
-135.9203,100,971.18002
-121.211163,97,971.523355
-116.366775,94,988.200314
-135.271469,138,988.413961
-134.087652,99,988.462003
-127.496109,100,988.603862
-120.452202,97,988.959914
-151.076133,142,989.124749
-133.434238,128,989.190308
-146.392309,141,989.411314
-130.579737,116,989.822183
-125.2035,98,989.95818
-142.42916,142,990.344221
-118.791389,98,990.466566
-120.282326,95,990.537859
-118.2746,94,990.609487
-124.263451,97,990.974292
-113.956448,92,991.685872
-150.474418,144,992.27014
-124.408372,99,992.318873
-121.338597,119,992.684128
-131.605798,100,992.821728
-120.679801,98,993.46075
-119.479173,97,993.530851
-151.479319,148,993.630199
-140.889971,137,993.911154
-120.167818,94,994.029726
-150.307023,144,994.123758
-142.094434,131,994.263341
-105.4175,94,995.039259
-123.661039,96,1012.111646
-143.692823,132,1012.336469
-121.463956,99,1012.614368
-135.6286,144,1012.708832
-113.13603,92,1012.755146
-143.861628,141,1012.989096
-114.409829,92,1013.539912
-122.563857,98,1014.152434
-110.328631,91,1014.343939
-135.615401,117,1014.614372
-117.321995,94,1014.669404
-119.486707,96,1014.799939
-113.874171,94,1015.057907
-107.741361,92,1015.121556
-127.362529,100,1015.448781
-111.003104,92,1015.711587
-124.901157,98,1016.204271
-123.959526,99,1016.274236
-110.980623,93,1016.825867
-121.118828,96,1016.896896
-105.644812,91,1017.233462
-144.828417,144,1018.074096
-116.751032,104,1018.333436
-131.24831,124,1018.692182
-115.764807,97,1035.401909
-141.732861,140,1035.635098
-112.464387,94,1035.683234
-126.140835,102,1036.25471
-144.050149,135,1036.485469
-139.08856,127,1036.555943
-132.007849,126,1036.775036
-144.425116,143,1037.005188
-120.849039,98,1037.48333
-141.609901,134,1037.714187
-105.64062,93,1037.980982
-136.754742,134,1038.206575
-122.916966,123,1038.410841
-120.220501,102,1038.541167
-114.16041,92,1038.607192
-136.944069,130,1038.697677
-104.933021,92,1038.821848
-118.257151,94,1038.964889
-144.731249,140,1039.201115
-142.587326,135,1039.482177
-131.06316,100,1039.680585
-142.003213,132,1039.983409
-114.462629,97,1040.038072
-159.398617,145,1040.270737
-104.339875,89,1040.460921
-137.059588,138,1040.840477
-122.358912,99,1041.106857
-148.55211,128,1041.549644
-144.244113,148,1041.846416
-117.036475,96,1042.045731
-118.685483,95,1042.334612
-143.490055,137,1042.426577
-136.532237,124,1059.309768
-114.199538,95,1059.370918
-115.557449,96,1059.592402
-132.903545,135,1059.829929
-136.882698,137,1060.916218
-125.059203,108,1061.191525
-130.824305,125,1061.271967
-139.264055,131,1061.559922
-117.364819,96,1061.610574
-131.563791,125,1061.833452
-127.904445,134,1062.413036
-138.336871,130,1062.774531
-114.914289,93,1062.830177
-124.610485,110,1063.055718
-130.588838,119,1063.131792
-146.651871,147,1063.217504
-125.283364,98,1063.471392
-150.993408,147,1063.7076
-137.539525,128,1063.915263
-113.492691,93,1064.042795
-144.328797,138,1064.489832
-116.171056,93,1064.844416
-109.601707,92,1065.12855
-120.638227,94,1065.19672
-112.472628,94,1065.337383
-112.960896,93,1065.763357
-149.307278,145,1066.072305
