EpLenMean,EpRewMean,EpThisIter,EpisodesSoFar,SuccessInsertion,TimeElapsed,TimestepsSoFar
150.0,-620.7951962531357,99,99,0,23.037583112716675,14850
150.0,-649.726827307745,99,198,0,46.54240298271179,29700
150.0,-629.4597555937047,99,297,0,70.15558552742004,44550
150.0,-575.3841029584529,99,396,0,93.68066787719727,59400
150.0,-590.27133655894,99,495,0,117.06350111961365,74250
150.0,-557.8171337606987,99,594,0,140.74433135986328,89100
150.0,-521.737022209859,99,693,0,164.1444365978241,103950
150.0,-526.7332522477988,99,792,0,187.45261096954346,118800
150.0,-481.5867381862039,99,891,0,210.90930032730103,133650
150.0,-451.78213884099586,99,990,0,234.30831933021545,148500
150.0,-447.1253228286555,99,1089,0,257.93390822410583,163350
150.0,-445.74532951041135,99,1188,0,281.24077558517456,178200
150.0,-459.15394149403653,99,1287,0,304.6414325237274,193050
150.0,-469.5908568678965,99,1386,0,328.38369059562683,207900
150.0,-460.86707457521044,99,1485,0,351.9547152519226,222750
150.0,-448.5245288310799,99,1584,0,375.39806723594666,237600
150.0,-431.048860646933,99,1683,0,398.91660833358765,252450
150.0,-417.2795070528531,99,1782,0,422.40165877342224,267300
150.0,-419.46900154285584,99,1881,0,445.96238684654236,282150
150.0,-413.4994093911845,99,1980,0,469.39344120025635,297000
150.0,-409.7777842400345,99,2079,1,493.0962929725647,311850
150.0,-401.8318421581618,99,2178,1,516.1596043109894,326700
150.0,-405.300478548539,102,2280,3,539.5642592906952,341550
150.0,-392.77783381419516,99,2379,0,563.2534296512604,356400
150.0,-400.8893597993625,99,2478,2,586.8728861808777,371250
150.0,-393.95418520413443,104,2582,7,610.6689922809601,386100
150.0,-394.00000181523035,102,2684,3,634.13636469841,400950
150.0,-378.3133370173633,100,2784,1,657.406186580658,415800
150.0,-360.96535776668384,100,2884,1,680.8051500320435,430650
150.0,-375.4638605932169,101,2985,2,704.166122674942,445500
150.0,-374.4573933957401,101,3086,2,727.8028252124786,460350
150.0,-375.8241481682487,101,3187,3,751.7222113609314,475200
150.0,-345.0582077180028,100,3287,1,775.2321918010712,490050
150.0,-351.7877973216386,100,3387,2,798.7502224445343,504900
120.0,-264.84730403061985,102,3489,4,822.0475194454193,519750
150.0,-362.55988334293954,104,3593,6,845.2847192287445,534600
150.0,-325.334830697073,105,3698,10,869.0280694961548,549450
140.6,-286.9395023443004,107,3805,12,892.8988027572632,564403
150.0,-313.19137320270846,105,3910,11,916.6462781429291,579253
150.0,-347.8777416144052,111,4021,19,940.3784484863281,594103
120.0,-257.16831861441244,115,4136,17,964.1130907535553,608953
139.4,-340.7982381275662,117,4253,22,987.6082904338837,623900
120.0,-274.5469746437583,127,4380,30,1011.4333379268646,638750
144.8,-304.61659406203404,123,4503,25,1034.9332065582275,653724
90.0,-159.0712240347647,131,4634,34,1058.6103777885437,668574
120.0,-228.6213580285235,126,4760,28,1082.4605491161346,683424
120.0,-226.90279084553214,118,4878,20,1105.7975008487701,698274
139.0,-282.96819190316467,114,4992,15,1129.551599264145,713219
150.0,-299.71491360590045,114,5106,15,1153.1021521091461,728069
113.4,-222.28031561369056,121,5227,22,1176.6208293437958,743036
90.0,-193.18149738974003,118,5345,19,1200.188589811325,757886
120.0,-246.0103971595974,119,5464,20,1223.6518595218658,772736
100.4,-249.06897341943372,126,5590,27,1247.232446193695,787586
120.2,-251.064455805305,131,5721,32,1270.809897661209,802527
150.0,-329.5856289408094,128,5849,29,1294.450558423996,817377
149.4,-278.3724640390916,125,5974,26,1318.2795379161835,832374
120.0,-237.9946094062763,124,6098,25,1342.122610092163,847224
120.0,-252.6756178523603,131,6229,33,1365.7368233203888,862074
107.8,-212.4942731109898,138,6367,39,1389.4820499420166,877013
120.0,-266.3508619419229,135,6502,36,1413.1056625843048,891863
120.0,-224.8260436621631,137,6639,39,1436.7635049819946,906713
120.0,-221.7147873726015,137,6776,39,1460.6064476966858,921563
111.4,-186.72934791634714,138,6914,39,1484.5832042694092,936520
150.0,-287.5563856105679,141,7055,42,1508.3155751228333,951370
107.4,-190.28174709065405,135,7190,36,1531.9613280296326,966307
120.0,-252.05235414612844,131,7321,32,1555.4811885356903,981157
84.6,-156.1253446935303,148,7469,49,1579.2310419082642,996101
90.0,-166.75103614134352,141,7610,42,1603.4084150791168,1010951
138.2,-260.05034430292255,143,7753,44,1627.055426120758,1025892
107.8,-187.45354611236297,147,7900,48,1651.0289108753204,1040831
77.6,-131.66625927479777,145,8045,46,1674.5809128284454,1055769
90.0,-164.22096923012026,157,8202,58,1698.152214050293,1070619
67.0,-136.82167462097044,146,8348,47,1721.8161647319794,1085469
110.4,-186.7576806779211,156,8504,58,1745.4830741882324,1100421
90.0,-167.20869573214276,142,8646,43,1769.245697259903,1115271
99.0,-197.1062153375577,141,8787,44,1793.1462426185608,1130121
120.0,-221.88504528987514,159,8946,60,1816.931699514389,1144971
120.0,-223.15879111272892,147,9093,49,1840.7741405963898,1159821
120.0,-241.4985351080232,153,9246,56,1864.511225938797,1174671
90.0,-168.31162802846058,151,9397,52,1888.675392150879,1189521
90.0,-146.9320531346251,153,9550,55,1912.885879278183,1204371
99.0,-208.64855238241722,153,9703,57,1937.115903377533,1219221
71.0,-144.2133242594527,158,9861,59,1961.007441520691,1234071
72.0,-148.89062567942108,159,10020,61,1985.143774986267,1248921
77.6,-133.03948124052775,150,10170,51,2009.0034329891205,1263859
110.4,-185.19757705790957,142,10312,43,2033.049381017685,1278811
99.0,-208.08862898860343,154,10466,55,2057.2512555122375,1293661
89.8,-162.69576140190685,151,10617,52,2080.9071657657623,1308612
90.0,-166.92128532500456,147,10764,48,2104.6034309864044,1323462
79.4,-128.8240982344459,145,10909,46,2128.3672244548798,1338409
110.2,-197.62215466582083,161,11070,62,2152.2709214687347,1353360
89.2,-163.51966899995352,145,11215,46,2176.661602497101,1368309
120.0,-231.3439831891438,157,11372,58,2201.023052930832,1383159
109.0,-190.27477766832027,159,11531,60,2224.9173834323883,1398104
69.6,-146.62339435495974,157,11688,58,2248.4705872535706,1412954
108.6,-175.7730048295162,153,11841,54,2271.829304456711,1427897
88.6,-167.7734335766002,157,11998,59,2295.6007220745087,1442836
120.0,-224.58291238507726,151,12149,52,2319.4670855998993,1457686
150.0,-279.64058835389517,154,12303,56,2343.1473417282104,1472536
90.0,-141.69666355262748,145,12448,46,2367.1049423217773,1487386
