# {"t_start": 1591372385.3888662, "env_id": "Block2D-v1"} 
r,l,t
-96.887853,88,1285.603542
-95.866391,95,1285.668349
-90.926533,89,1285.729948
-113.273176,95,1285.856071
-112.803114,107,1285.925183
-93.669883,87,1285.978674
-103.258445,107,1286.115153
-96.671745,88,1286.238695
-117.217058,105,1286.311908
-107.467209,103,1286.376513
-94.283203,89,1286.503269
-106.84946,86,1286.569946
-115.628256,108,1286.651392
-142.197563,113,1286.72752
-84.143002,79,1286.781063
-103.714514,105,1286.863011
-112.387531,106,1287.064128
-106.156536,104,1287.132255
-102.506593,101,1287.205618
-97.978335,79,1287.33885
-93.635058,94,1287.55398
-119.146314,116,1287.761344
-102.807962,88,1287.878296
-92.415832,81,1287.942075
-80.937084,74,1312.85989
-98.705373,98,1313.004432
-87.002463,78,1313.062069
-111.489383,92,1313.200809
-104.009594,83,1313.330485
-106.732186,102,1313.469773
-112.687526,106,1313.539842
-102.885223,97,1313.603338
-112.987454,108,1313.742466
-94.518454,87,1313.79966
-113.4183,104,1313.873769
-101.537207,92,1314.068735
-87.265899,77,1314.129689
-98.46683,100,1314.468852
-77.145385,73,1314.655808
-105.298023,104,1314.796583
-99.026216,87,1314.978177
-103.875137,102,1315.125074
-94.78515,99,1315.195615
-101.172829,99,1315.34184
-98.030922,87,1315.402704
-101.995667,100,1315.538194
-107.338624,105,1315.928049
-118.039369,103,1316.05907
-120.642802,112,1316.127704
-105.02299,103,1316.320549
-96.105742,102,1316.386487
-88.582425,84,1316.705827
-91.807376,96,1316.842999
-82.738186,75,1317.173245
-93.424126,98,1317.250412
-99.60191,86,1317.388507
-115.520339,109,1317.467217
-119.090205,114,1317.535899
-88.64235,78,1317.585215
-91.29047,85,1317.714946
-93.293155,80,1318.036066
-105.068211,100,1343.257772
-100.413095,104,1343.39293
-91.933149,87,1343.451426
-97.625963,100,1343.583466
-97.914764,99,1343.710598
-102.93028,99,1343.776199
-83.309206,76,1343.830923
-115.096695,108,1343.910031
-84.978409,77,1343.961519
-103.230577,103,1344.038207
-97.589494,99,1344.099813
-89.108813,83,1344.159402
-92.361272,96,1344.296844
-94.872726,96,1344.429125
-100.713313,98,1344.497013
-95.53273,100,1344.632455
-96.598019,100,1344.771657
-98.58614,97,1344.838597
-113.229312,106,1344.914709
-81.488242,77,1344.973223
