EpLenMean,EpRewMean,EpThisIter,EpisodesSoFar,SuccessInsertion,TimeElapsed,TimestepsSoFar
150.0,-640.3642439789426,79,79,0,31.14851975440979,11851
150.0,-654.3961775074592,79,158,0,61.44656467437744,23702
150.0,-641.9783130425809,79,237,0,91.90289092063904,35553
150.0,-596.041088982803,79,316,0,122.14507794380188,47404
150.0,-569.5848723994734,79,395,0,152.48325371742249,59255
150.0,-538.9299590960456,79,474,0,182.70796155929565,71106
150.0,-535.2003727912177,79,553,0,212.572340965271,82957
150.0,-696.4211939357003,79,632,0,242.94347715377808,94808
150.0,-713.2763924223118,79,711,0,273.2855887413025,106659
150.0,-477.93500216682344,79,790,0,303.72497391700745,118510
150.0,-470.5840377484991,79,869,0,334.5079233646393,130361
150.0,-464.69084982560264,79,948,0,365.206116437912,142212
150.0,-475.7032142044215,79,1027,0,395.689017534256,154063
150.0,-436.30985110706314,79,1106,0,426.7265076637268,165914
150.0,-398.69628859115915,79,1185,0,457.3220932483673,177765
150.0,-374.23510905314487,79,1264,0,488.27903962135315,189616
150.0,-366.1035074723195,79,1343,0,518.8589429855347,201467
150.0,-356.70563475563677,79,1422,0,549.7911744117737,213318
150.0,-351.8396360047715,79,1501,0,580.6548824310303,225169
150.0,-346.1726909222661,79,1580,0,611.3682804107666,237020
150.0,-352.8283048422094,79,1659,0,642.185307264328,248871
150.0,-331.4182526361651,79,1738,0,672.7670612335205,260722
150.0,-331.4742879485997,79,1817,1,703.4080910682678,272573
150.0,-318.51101756841246,79,1896,0,733.6239242553711,284424
150.0,-319.86954399813055,79,1975,0,764.7389793395996,296275
150.0,-314.27933967052553,79,2054,0,795.340904712677,308126
150.0,-305.71408574856844,79,2133,0,826.0989508628845,319977
150.0,-319.1650602625906,79,2212,0,856.5495331287384,331828
150.0,-312.2819605322551,79,2291,0,887.3610858917236,343679
150.0,-316.60244029927287,80,2371,1,917.9661083221436,355530
150.0,-306.76842116945056,82,2453,3,948.3676218986511,367381
150.0,-306.61971329094644,82,2535,3,978.7786102294922,379232
150.0,-319.7231564054072,86,2621,7,1008.7169270515442,391083
150.0,-318.32655415443213,86,2707,7,1038.763002872467,402934
150.0,-337.20766569938525,85,2792,6,1069.914046049118,414785
120.0,-237.33529961393643,89,2881,10,1100.0380897521973,426636
150.0,-316.56102205437963,91,2972,12,1130.1664793491364,438487
137.0,-280.6081160936715,103,3075,24,1160.3574426174164,450423
90.0,-169.40203288170468,102,3177,23,1191.359058380127,462274
115.4,-206.70865960708517,110,3287,31,1222.052490234375,474252
120.0,-254.52965927402056,115,3402,36,1252.2643728256226,486103
90.0,-173.32563994821248,119,3521,40,1282.2949454784393,497954
102.4,-247.47152052987022,125,3646,46,1312.3164689540863,509805
136.0,-300.1421648870808,116,3762,37,1342.7713532447815,521736
80.2,-129.44665225939485,125,3887,46,1373.343457698822,533688
108.8,-217.7578266449315,130,4017,52,1403.5611035823822,545633
90.0,-173.0036660465105,130,4147,51,1434.4198451042175,557484
105.4,-234.52391163567663,138,4285,60,1465.2343351840973,569412
75.8,-152.34213357370578,135,4420,61,1495.6745293140411,581263
89.8,-186.0899664914836,144,4564,70,1526.0286302566528,593193
150.0,-382.82405658331555,138,4702,64,1556.3611199855804,605044
87.4,-176.25160810687788,134,4836,57,1586.5036046504974,616965
90.0,-179.3505963571289,133,4969,60,1616.8777585029602,628816
117.8,-263.2836508774061,148,5117,74,1647.4521770477295,640806
93.8,-182.65871661935154,142,5259,68,1677.9632546901703,652751
78.0,-123.43284473054834,143,5402,69,1708.231290102005,664692
76.6,-119.48117614840567,140,5542,63,1738.7817196846008,676626
90.0,-170.1825935214907,152,5694,78,1769.3561639785767,688477
89.6,-172.97968234878095,150,5844,74,1799.8257219791412,700476
103.2,-231.7554615144808,148,5992,79,1830.2777898311615,712393
74.6,-111.92018012657404,149,6141,75,1860.2386569976807,724317
90.0,-175.42474298733853,140,6281,65,1890.823878288269,736168
90.0,-208.53475461487346,139,6420,67,1920.9637348651886,748019
60.0,-78.37940506123391,154,6574,78,1951.1016640663147,759870
77.6,-126.52696960564485,145,6719,67,1981.5167038440704,771809
61.6,-87.12898045945974,152,6871,76,2012.31250333786,783660
60.0,-87.44779791575681,158,7029,83,2043.16530251503,795511
104.2,-231.8037705904373,147,7176,69,2073.449243783951,807506
48.4,-57.87600169078719,155,7331,80,2103.7490673065186,819436
134.6,-352.18708082282666,161,7492,83,2133.7680399417877,831360
55.2,-53.77595224126033,157,7649,79,2163.411608695984,843337
58.6,-64.12376929463434,147,7796,68,2193.9912984371185,855331
86.4,-179.85890300954273,169,7965,94,2224.742984056473,867314
47.0,-63.04834949925596,169,8134,91,2255.130905866623,879165
76.6,-173.62615244201862,148,8282,69,2285.785345554352,891016
57.2,-65.73941205625772,160,8442,82,2316.3732187747955,903003
55.8,-58.94246262194131,167,8609,89,2347.2102131843567,914983
105.4,-260.6991535639113,154,8763,80,2378.084865808487,926907
60.8,-81.57168773777806,154,8917,75,2409.2783620357513,938830
93.2,-216.86712094904087,155,9072,78,2439.1496229171753,950681
107.8,-255.17358445569712,171,9243,93,2469.87997841835,962532
47.6,-63.124654353735174,165,9408,86,2500.4964854717255,974450
58.0,-55.418374690797194,172,9580,94,2531.1391127109528,986441
58.0,-75.32228290131208,168,9748,89,2562.0432975292206,998425
90.4,-169.2187523475353,161,9909,82,2592.456110715866,1010412
55.8,-52.16212885723735,184,10093,106,2623.3217146396637,1022392
60.0,-79.58809745266926,185,10278,108,2654.169083595276,1034243
75.0,-136.05916436254748,184,10462,107,2684.505937099457,1046094
86.0,-119.1157959818831,182,10644,103,2715.4876000881195,1058075
73.8,-103.8567755500148,191,10835,113,2746.4169912338257,1069995
60.8,-81.88862577293378,183,11018,104,2776.740649700165,1081978
57.8,-49.72390227338079,185,11203,106,2807.7703154087067,1093968
48.8,-69.23294860680207,191,11394,112,2838.810563802719,1105819
71.4,-96.62436975687459,197,11591,120,2869.6618695259094,1117792
73.8,-101.0280468791548,201,11792,122,2900.3783011436462,1129768
56.0,-59.77018088902882,188,11980,110,2931.3471336364746,1141749
120.0,-201.668524032754,189,12169,110,2962.7467119693756,1153600
60.0,-81.05708564529928,208,12377,130,2993.808221101761,1165451
73.0,-96.82933704826114,203,12580,125,3024.9674167633057,1177429
74.6,-115.65450888305247,204,12784,126,3055.075273990631,1189280
55.2,-51.518031972722994,210,12994,131,3085.886132478714,1201257
52.4,-51.767001908509584,207,13201,129,3116.916700363159,1213220
55.2,-54.46023616300804,213,13414,134,3147.225473880768,1225197
47.4,-64.80075729189464,206,13620,127,3178.2682304382324,1237048
54.0,-51.36745027562854,205,13825,126,3208.4272096157074,1249019
54.2,-50.924597130109795,216,14041,137,3239.3242774009705,1260991
69.6,-89.12607393531216,223,14264,144,3270.421203136444,1272955
70.6,-92.01564902528278,215,14479,136,3301.9435725212097,1284920
52.8,-50.22818270547474,220,14699,141,3333.132018327713,1296885
54.0,-53.93427272815914,223,14922,144,3364.0065593719482,1308856
