EpLenMean,EpRewMean,EpThisIter,EpisodesSoFar,SuccessInsertion,TimeElapsed,TimestepsSoFar
150.0,-648.3459326840306,49,49,0,36.170140504837036,7351
150.0,-645.8588857512043,49,98,0,72.93116927146912,14702
150.0,-641.9330435990379,49,147,0,109.74239897727966,22053
150.0,-656.6368115777293,49,196,0,146.92095851898193,29404
150.0,-627.6145832239954,49,245,0,183.8686981201172,36755
150.0,-608.2366375025252,49,294,0,220.4081313610077,44106
150.0,-593.449863820164,49,343,0,256.31376671791077,51457
150.0,-566.0478978169529,49,392,0,292.8406505584717,58808
150.0,-560.7503563264814,49,441,0,328.1545293331146,66159
150.0,-548.8513357698139,49,490,0,363.9680459499359,73510
150.0,-540.1698150288929,49,539,0,399.25743222236633,80861
150.0,-546.8082779193967,49,588,0,435.1353974342346,88212
150.0,-524.041126082027,49,637,0,470.18700909614563,95563
150.0,-526.4748971327261,49,686,0,506.2158098220825,102914
150.0,-507.04641330252906,49,735,0,541.7109596729279,110265
150.0,-492.22130598213363,49,784,0,576.8945050239563,117616
150.0,-485.33991933500056,49,833,0,612.1915581226349,124967
150.0,-467.09235837997164,49,882,0,647.7283413410187,132318
150.0,-455.93426135021656,49,931,0,683.3409426212311,139669
150.0,-436.34955046465194,49,980,0,718.5992867946625,147020
150.0,-434.9760335021031,49,1029,0,754.3308100700378,154371
150.0,-424.0451579180459,49,1078,0,789.6898605823517,161722
150.0,-404.9403897680149,49,1127,0,825.5079896450043,169073
150.0,-404.55804095868086,49,1176,0,861.0428221225739,176424
150.0,-395.29883099804226,49,1225,0,896.2524611949921,183775
150.0,-389.84232941343464,49,1274,1,930.8467562198639,191126
150.0,-380.93864542560254,49,1323,0,966.7006838321686,198477
150.0,-380.16962944190027,49,1372,0,1001.8962359428406,205828
150.0,-371.6398337476147,49,1421,0,1037.9229719638824,213179
150.0,-359.762364171151,49,1470,0,1072.989726781845,220530
150.0,-361.387195827234,49,1519,0,1107.3567728996277,227881
150.0,-352.13741792415294,49,1568,1,1142.7812814712524,235232
150.0,-359.28107242650105,49,1617,3,1178.0805683135986,242583
120.0,-275.46645716452105,53,1670,7,1213.817143201828,249934
150.0,-334.7667745655729,56,1726,9,1249.2442121505737,257285
120.0,-266.5965241115076,57,1783,10,1284.4592819213867,264636
117.2,-234.74383744772575,65,1848,18,1319.1153461933136,272123
116.8,-236.32357759444614,60,1908,11,1353.5550537109375,279608
150.0,-330.2259910879486,56,1964,10,1387.84779047966,286959
140.8,-300.1126581372445,55,2019,6,1422.104906797409,294414
122.0,-250.85915407334005,67,2086,21,1456.4247217178345,301906
90.0,-191.63386496541185,68,2154,21,1492.3935151100159,309257
114.6,-208.28859446971518,76,2230,31,1526.4927418231964,316731
90.0,-176.5879213871165,77,2307,30,1560.5581290721893,324082
94.4,-194.40019326105204,87,2394,39,1594.622034072876,331576
80.0,-139.7452107001996,88,2482,39,1627.8597531318665,339027
81.6,-146.85746978524406,92,2574,43,1661.5813834667206,346486
87.6,-182.36016595811085,95,2669,46,1695.5487229824066,353938
83.8,-171.9004099484732,98,2767,49,1729.5072515010834,361388
90.6,-192.8478650704576,92,2859,43,1763.4598834514618,368863
79.2,-154.13299502824935,95,2954,46,1797.3659868240356,376310
83.0,-156.45719449142476,99,3053,50,1831.4014360904694,383776
82.0,-161.38520374292042,98,3151,49,1865.6091022491455,391237
79.4,-163.1299437670943,95,3246,46,1899.0925810337067,398685
79.4,-154.60329786517298,97,3343,48,1929.993012189865,406133
81.0,-156.72662171002042,98,3441,49,1963.976054906845,413589
80.8,-152.39239955803586,98,3539,49,1997.8109285831451,421044
79.0,-151.82667673123242,96,3635,47,2031.770111322403,428490
79.6,-153.4468751310269,98,3733,49,2065.833631515503,435939
79.6,-149.46325896254862,99,3832,50,2099.9043896198273,443388
78.0,-152.42012189316526,99,3931,50,2133.9432468414307,450829
77.8,-147.86148542150664,97,4028,48,2167.8034331798553,458269
78.0,-147.5056157466277,99,4127,50,2200.7832016944885,465710
76.4,-144.14708197542564,99,4226,50,2234.366705417633,473143
78.6,-144.70222259322472,99,4325,50,2268.2513694763184,480587
77.0,-140.018011566205,99,4424,50,2302.0848593711853,488023
77.8,-141.011095355403,97,4521,48,2336.0158331394196,495463
89.2,-183.2412115752474,95,4616,46,2370.1757378578186,502897
76.6,-138.56749122818832,96,4712,47,2403.986877679825,510331
75.8,-136.70042194526812,97,4809,48,2437.752783060074,517761
76.2,-135.10178466082525,97,4906,48,2471.5653128623962,525193
75.4,-130.30684819780572,99,5005,51,2504.802994966507,532621
75.8,-130.0730953484191,99,5104,50,2538.3039338588715,540051
