# {"t_start": 1591218883.0870504, "env_id": "Block2D-v1"} 
r,l,t
-203.371214,118,1178.75149
-219.359175,131,1179.483547
-204.311031,119,1181.106445
-194.321121,117,1181.79767
-185.946451,114,1214.948295
-223.446253,149,1215.46233
-198.386623,145,1215.718619
-191.890178,115,1215.905704
-206.339869,146,1216.866465
-182.719047,111,1217.059607
-208.180391,148,1217.211343
-185.52742,110,1250.798296
-175.256811,107,1251.622035
-186.767002,112,1251.832809
-168.853315,107,1252.06281
-182.829584,114,1252.317797
-192.234159,117,1252.381955
-193.089995,122,1252.635255
-194.714283,122,1252.767231
-178.027121,111,1285.119623
-192.591103,143,1285.200659
-203.471424,146,1285.268525
-186.875977,116,1285.453698
-199.565783,144,1285.528256
-172.757341,104,1286.015164
-198.841028,145,1286.098711
-183.378721,123,1286.431885
-202.887419,144,1286.572182
-184.976354,112,1286.688998
-203.334403,147,1286.768075
-179.350193,111,1287.620234
-184.894788,128,1287.758677
-196.572266,125,1287.822906
-187.354319,117,1288.014459
-187.424773,136,1288.155402
-175.490158,108,1319.973005
-190.052503,138,1320.250544
-182.102863,110,1320.369013
-195.697799,140,1320.449472
-191.537129,139,1320.863226
-170.605117,108,1321.509459
-190.151291,122,1322.175705
-182.374627,133,1322.312617
-197.022879,142,1322.450137
-181.696443,114,1322.767325
-188.214275,134,1322.85952
-191.569394,146,1354.42472
-174.469856,108,1354.607632
-203.33812,142,1354.822005
-186.681589,135,1354.951022
-163.660435,105,1355.553461
-197.31429,141,1355.892027
-179.989963,110,1356.005435
-174.985606,108,1388.61201
-192.755609,136,1389.326092
-184.304589,136,1389.869364
-169.613011,113,1389.989946
-184.461733,129,1391.048266
-164.990899,104,1391.495793
-190.273455,145,1422.577273
-170.886448,122,1422.76355
-178.459293,131,1422.82886
-187.477642,144,1423.14751
-162.415422,103,1423.192374
-188.094596,142,1423.270327
-187.523803,146,1423.520292
-161.425783,103,1423.565155
-189.94497,149,1423.914558
-177.416533,133,1423.972998
-175.65514,117,1424.290652
-187.550106,132,1424.547384
-178.742066,131,1424.609902
-176.145623,130,1424.672037
-166.940734,106,1424.724209
-178.112762,114,1425.350496
-182.787548,131,1425.419789
-194.71996,141,1425.675336
-200.609048,145,1456.961022
-186.384691,139,1457.421045
-178.995701,132,1457.81441
-156.798747,101,1458.350851
-192.959283,143,1458.43518
-174.797173,122,1458.558174
-178.179705,137,1458.696801
-157.141867,102,1458.814293
-170.159513,108,1458.883352
-183.297406,131,1458.958824
-163.668394,107,1459.147367
-172.612191,131,1459.224809
-165.389784,104,1459.279081
-183.944372,132,1459.357971
-175.308139,129,1459.492463
-165.90418,106,1459.549195
-191.167315,140,1459.882995
-172.319528,121,1459.937287
-156.255218,103,1459.991534
-193.540036,150,1492.883134
-175.874861,131,1493.455408
