EpLenMean,EpRewMean,EpThisIter,EpisodesSoFar,Success,TimeElapsed,TimestepsSoFar
150.0,-634.7752745025881,75,75,0,29.679326057434082,11250
150.0,-639.1072638883304,75,150,0,58.7919442653656,22500
150.0,-583.0236601848052,75,225,0,88.10667896270752,33750
150.0,-598.6508287290604,75,300,0,117.7740797996521,45000
150.0,-550.1386980518312,75,375,0,147.29380869865417,56250
150.0,-562.9156484798267,75,450,0,177.0041482448578,67500
150.0,-528.9491765600588,75,525,0,206.4129180908203,78750
150.0,-518.220974842037,75,600,0,235.81181263923645,90000
150.0,-507.02005123639236,75,675,0,265.219126701355,101250
150.0,-497.06208780846544,75,750,0,295.08822441101074,112500
150.0,-474.77422571573044,75,825,0,324.82657408714294,123750
150.0,-448.66941736502656,75,900,0,354.6589295864105,135000
150.0,-436.5402618859889,75,975,0,384.69076776504517,146250
150.0,-438.1406905517705,75,1050,0,414.60909247398376,157500
150.0,-410.04088513005354,75,1125,0,444.6310875415802,168750
150.0,-397.3406874498694,75,1200,0,474.59255504608154,180000
150.0,-389.56969561004837,75,1275,0,504.6809859275818,191250
150.0,-368.44421005474106,75,1350,0,534.7322468757629,202500
150.0,-360.81987244529216,75,1425,0,565.1161298751831,213750
150.0,-348.1754182198851,75,1500,0,595.4976480007172,225000
150.0,-336.2619356905271,75,1575,0,625.8336653709412,236250
150.0,-333.4692306286559,75,1650,1,656.070255279541,247500
150.0,-327.67318628362096,75,1725,1,686.5787105560303,258750
150.0,-319.9686169439865,75,1800,0,717.0456764698029,270000
150.0,-316.2916073790649,75,1875,0,747.418776512146,281250
150.0,-309.4133558834026,75,1950,0,777.9910628795624,292500
150.0,-312.78223729238124,75,2025,0,808.7454664707184,303750
150.0,-312.49531603455745,75,2100,1,839.3093409538269,315000
150.0,-321.32376857342695,75,2175,5,870.0776357650757,326250
150.0,-292.2015455551952,75,2250,8,900.7427799701691,337500
150.0,-282.5040075989147,75,2325,9,931.7902438640594,348750
150.0,-305.2053867397197,75,2400,25,962.7452292442322,360000
150.0,-274.74304626549167,75,2475,17,993.4231250286102,371250
