# {"t_start": 1591070161.7050402, "env_id": "Block2D-v1"} 
r,l,t
-169.34556,149,1321.200335
-135.771074,130,1589.144619
-152.674473,134,1632.72199
-155.49172,142,1640.832475
-151.970938,142,1641.039871
-129.270478,113,1641.414871
-139.507124,128,1647.307333
-150.171764,144,1648.822622
-162.916181,150,1649.251563
-121.511966,98,1651.934095
-147.322301,135,1652.840558
-141.811924,124,1656.506336
-143.504827,129,1656.884166
-147.258786,140,1656.951428
-162.710224,147,1657.093962
-123.345254,103,1681.981317
-152.577235,133,1685.22056
-172.559345,149,1685.659459
-151.224758,131,1688.257577
-126.222239,107,1700.843883
-125.306422,105,1735.066467
-126.529454,107,1742.507696
-130.913186,107,1747.599789
-128.415257,113,1747.748656
-153.21642,135,1856.139853
-142.968858,133,1964.418627
-127.462591,103,1965.033316
-119.565004,99,1967.360814
-149.129984,131,1968.039003
-125.858884,102,1968.833754
-143.036787,141,1971.791981
-149.543286,139,1973.250879
-130.966076,111,1978.050928
-124.599442,113,1978.669348
-137.3219,127,1983.504355
-151.862411,135,1984.018821
-143.075107,130,1984.156512
-150.811449,137,1984.296262
-155.125794,145,2020.86338
-147.880782,132,2023.930015
-151.536233,143,2039.56968
-143.058697,132,2054.400418
-155.865574,146,2200.715807
-122.61862,112,2201.72322
-113.540111,100,2202.344495
-137.023516,118,2202.573994
-122.052683,108,2204.006675
-158.152739,146,2204.278663
-120.04919,111,2205.477942
-117.029058,106,2205.681803
-125.583429,111,2206.762878
-118.848564,108,2206.97017
-157.610838,146,2211.350401
-148.843704,142,2211.551644
-148.3418,138,2211.964285
-138.80192,126,2212.165732
-137.065668,123,2212.60642
-155.648501,143,2214.335934
-123.613206,113,2215.369193
-142.696477,130,2215.602314
-121.290023,116,2220.168857
-132.011415,121,2220.838637
-122.802094,117,2220.89652
-140.637248,126,2255.00685
-153.956994,141,2258.420282
-155.223346,146,2262.249041
-135.075077,125,2272.436134
-104.050166,97,2273.64079
-155.772572,147,2275.760988
-119.201299,113,2276.752076
-141.536817,131,2281.900264
-100.258076,95,2286.768364
-137.252889,131,2288.450998
-105.210188,98,2291.444329
-140.853638,134,2295.401924
-106.735154,94,2295.766845
-110.444332,102,2295.987799
-133.333415,128,2298.540861
-148.225272,142,2300.073809
-136.235508,129,2302.44025
-146.360501,138,2304.67622
-156.051491,149,2315.940965
-137.042762,129,2332.733847
-134.075317,122,2332.93058
-131.312459,129,2339.75864
-134.314599,126,2340.193453
-153.339202,145,2344.329279
-142.189478,136,2346.931227
-131.838723,130,2352.251578
-143.643603,139,2358.763217
-98.676863,98,2369.39658
-136.334403,130,2370.273676
-104.124044,98,2373.13211
-150.663735,147,2373.409368
-103.383957,104,2375.911088
-128.830377,127,2378.673606
-112.154582,110,2380.35192
-116.968016,112,2382.91092
-101.343991,99,2383.966284
-113.333312,106,2388.38719
-97.357193,93,2423.945184
-98.442797,94,2433.319619
-100.401463,95,2438.186548
-106.414327,100,2504.170054
-104.738319,101,2509.778975
-102.801341,95,2525.209771
