# {"t_start": 1591191564.3548417, "env_id": "Block2D-v1"} 
r,l,t
-210.078683,118,1015.699087
-214.023746,132,1057.553484
-194.903696,126,1100.332408
-193.010126,131,1100.901061
-191.313421,114,1101.441636
-202.583957,138,1106.414434
-188.785486,112,1106.795874
-208.946877,137,1106.871723
-187.316494,113,1108.165567
-206.591888,137,1145.108347
-183.706293,114,1145.64871
-192.030381,114,1145.779721
-197.100588,118,1146.043242
-202.222289,133,1146.115669
-210.229191,134,1147.011451
-199.439683,133,1147.22089
-199.149246,139,1148.392629
-200.564981,131,1148.800974
-204.038595,134,1149.457758
-198.422636,143,1150.297766
-188.858317,123,1150.826151
-190.290077,114,1151.043625
-194.63344,128,1151.167832
-201.01114,117,1151.273439
-190.682496,113,1195.489526
-187.771753,132,1195.623321
-202.540027,150,1196.151087
-199.178392,135,1196.413018
-202.155615,116,1196.986726
-176.724577,109,1198.055855
-181.24408,108,1198.462101
-184.900558,112,1198.729178
-186.945783,116,1198.799671
-189.993306,129,1198.941784
-196.162255,137,1199.565686
-191.288434,126,1199.837049
-175.739731,121,1200.108342
-192.823387,115,1200.766904
-179.046645,111,1201.003011
-197.009034,139,1202.426671
-184.202321,111,1203.066037
-207.903219,138,1203.828524
-205.347139,148,1246.561467
-189.515467,144,1246.896245
-176.786519,110,1247.015578
-193.544428,146,1247.164375
-199.989442,117,1247.549491
-194.430003,147,1247.659762
-194.735501,140,1247.83097
-186.111044,111,1248.023931
-198.186488,118,1248.30059
-201.891011,130,1248.506169
-183.510834,113,1248.919713
-194.95076,120,1249.201622
-201.237385,135,1249.348569
-192.485801,131,1249.964128
-185.46108,120,1250.640866
-201.256154,130,1250.858201
-190.219406,126,1250.987178
-185.911252,113,1251.047048
-180.462363,121,1251.181777
-184.14709,112,1251.323608
-180.009673,117,1251.476482
-194.47042,132,1251.637603
-188.253581,115,1251.859793
-204.000659,139,1252.102018
-180.155911,111,1252.503509
-200.917867,136,1252.912276
-212.247356,146,1253.127726
-184.878232,120,1253.655899
-193.323988,117,1253.716746
-192.096042,115,1293.072518
-225.376605,135,1293.807737
-224.12557,143,1296.033238
-199.379847,117,1297.008095
-199.238158,149,1298.049082
-191.801662,115,1298.168454
-190.050561,121,1298.377217
-177.489321,110,1298.640126
-195.352716,117,1298.845736
-193.964913,149,1298.925771
-199.377429,129,1299.689676
-210.745886,138,1299.843471
-185.718568,113,1300.544524
-191.347951,115,1300.680531
-184.846106,114,1300.951914
-195.280766,122,1301.024192
-209.544784,134,1301.303091
-198.839114,146,1301.78383
-185.038325,120,1301.83852
-197.804213,125,1301.902589
-188.879242,118,1301.96607
-183.294244,110,1341.669127
-202.30723,147,1343.742219
-210.059905,144,1344.564801
-201.448496,121,1345.60397
-192.018597,142,1345.677908
-190.802455,116,1346.362258
-204.015689,120,1346.432821
-191.342749,117,1387.654381
-181.572337,112,1388.976884
-200.669257,130,1389.316311
-192.291233,148,1389.819045
-202.653196,119,1392.128304
-211.163079,125,1393.897029
-196.214893,123,1437.854034
-185.652011,117,1438.116887
-198.321301,125,1438.181532
-177.943658,118,1438.242908
-209.913705,146,1438.845278
-175.915386,110,1440.004112
-206.513119,127,1440.082158
-184.20272,120,1440.432337
-200.580021,124,1440.967855
-210.160223,130,1441.712419
-182.321424,114,1443.554528
-209.791005,123,1444.605737
-194.581092,118,1444.880697
-209.381126,145,1482.208144
-178.698108,114,1483.37871
-207.234666,149,1483.463997
-197.124516,138,1484.459876
-189.623807,120,1485.204944
-203.584246,147,1485.353478
-182.124849,118,1486.261918
-204.100404,139,1486.340574
-204.937233,128,1488.168482
-188.459753,119,1527.308574
-181.4582,121,1528.452961
-212.448867,142,1528.529676
-195.359077,121,1529.234701
-192.430743,122,1529.456337
-187.333808,122,1529.732484
-201.497233,143,1530.046167
-179.536428,113,1530.986969
-198.825288,127,1532.105538
-190.736817,123,1532.794426
-200.255157,136,1533.291906
-205.529151,149,1533.621725
-206.908985,145,1571.66988
-178.89568,112,1574.189843
-197.088873,143,1574.278984
-203.374106,141,1574.426323
-199.077519,140,1574.716323
-187.20793,121,1575.366755
-186.807926,120,1576.025507
-211.249451,149,1576.216771
-188.452643,123,1576.90472
-182.723132,111,1577.361721
-198.93492,127,1577.682035
-198.582141,132,1577.908174
-183.178627,114,1616.565412
-172.782299,111,1617.076062
-207.016906,132,1617.158963
-202.978304,135,1617.380131
-179.651977,113,1617.958948
-206.333551,133,1618.251241
-194.616503,131,1618.320312
-187.732047,118,1618.383052
-210.504359,141,1618.544029
-195.033404,135,1619.19716
-165.318816,113,1619.382899
-206.45978,138,1619.665965
-204.198639,138,1619.946764
-189.980278,120,1620.632671
-200.273462,133,1620.715038
-191.40966,123,1620.975855
-194.495356,123,1621.039458
-178.097687,113,1621.579086
-191.734287,117,1621.851602
-164.155191,105,1622.385423
-199.870194,134,1623.320572
-180.265254,117,1623.462349
-189.237316,121,1666.387598
-211.62672,139,1668.784241
-191.981791,122,1669.03845
-197.215939,135,1669.329694
-179.163256,117,1669.649219
-192.265528,123,1670.031191
-182.707453,112,1671.186549
-183.429806,113,1671.25509
-196.94263,134,1671.331202
-188.201648,126,1671.792475
-199.048991,135,1671.864036
-188.134878,115,1671.921555
-217.402455,144,1672.068423
-182.591891,125,1672.192352
-200.992359,132,1672.266702
-210.483636,145,1672.673986
-184.902073,112,1672.931925
-204.815358,139,1673.02086
-177.609764,112,1673.153028
-201.874604,133,1673.37895
-220.411136,146,1673.458996
-191.598649,123,1673.664361
-209.899637,142,1673.819595
-206.587604,137,1674.029763
-197.424965,133,1674.296978
-204.487474,142,1674.498003
-195.097061,122,1674.6128
-197.595923,126,1674.892681
-193.391815,127,1675.081594
-183.826159,114,1675.195511
-215.375015,149,1675.340075
-176.5495,116,1675.392825
-202.509323,139,1675.471337
-182.070509,122,1676.439132
-197.249874,128,1714.713552
-183.098467,113,1715.026006
-181.673463,114,1715.096264
-183.125045,115,1715.369989
-205.03341,136,1715.515148
-191.113263,127,1715.705472
-194.004712,123,1716.180027
-189.120295,117,1716.321884
-184.909851,117,1716.468761
-172.816568,111,1716.539571
-186.476465,118,1716.615514
-179.096191,118,1716.685724
-161.756403,105,1717.041621
-178.409505,112,1717.189221
-178.794532,118,1717.264389
-177.574246,113,1717.334771
-172.253497,109,1717.40606
-193.13378,125,1717.781669
-173.280582,112,1717.922587
-205.796607,142,1718.000172
-167.899323,107,1718.107474
-201.818844,132,1718.178294
-207.306788,139,1718.241049
-174.639926,117,1718.533869
-192.178314,118,1718.669888
-177.826699,113,1719.005695
-171.036919,111,1719.072802
-196.83488,132,1719.218112
-184.196858,122,1719.281915
-198.609995,132,1719.422556
-190.119618,127,1719.488077
-203.845442,136,1719.627671
-195.515025,127,1719.691788
-179.352013,123,1720.160943
-197.525101,135,1720.303358
-168.589808,107,1720.497668
-185.776199,117,1720.764911
-194.3547,131,1720.836268
-172.705293,110,1720.897046
-187.998841,122,1721.041159
-175.759436,113,1721.101852
-173.634049,117,1721.295594
-199.277646,132,1762.636353
-198.327845,129,1762.710006
-176.016648,109,1763.010958
-182.828021,122,1763.089391
-189.859993,129,1763.160973
-199.562188,132,1763.231603
-186.302258,125,1763.295969
-168.748241,109,1763.364581
-170.811236,106,1763.687328
-185.505501,119,1763.762138
-184.565057,127,1764.476164
-180.576307,121,1764.858436
-193.285919,129,1765.408566
-177.066091,117,1765.737809
-174.569245,109,1766.083519
-191.138021,130,1766.293808
-193.507705,123,1766.35586
-176.170677,117,1766.437942
-175.441481,111,1766.503375
-177.281751,117,1766.806155
-193.736922,131,1766.954549
-169.810322,116,1767.407326
-188.760874,127,1767.685308
-207.147799,143,1767.819958
-189.639665,131,1767.877746
-185.770186,121,1767.935801
-171.276242,114,1767.995294
-173.648824,116,1768.18257
-173.743258,115,1768.244232
-194.099212,125,1768.434624
-199.931345,137,1768.509754
-171.441234,109,1768.565861
-181.775164,122,1768.709734
-171.699982,110,1768.77311
-170.292508,109,1768.841592
-175.911004,115,1768.981052
-199.665106,127,1769.05008
-177.002122,116,1769.10729
-183.046021,123,1769.170781
-201.524123,131,1769.234751
-172.352859,117,1769.292195
-175.307809,111,1769.417299
-175.882927,116,1769.48533
-205.522819,137,1769.563109
-178.183891,130,1769.626516
-189.381437,125,1769.689576
-179.897748,118,1769.814559
-183.922832,124,1769.882767
-184.426448,118,1770.142104
-207.13428,136,1770.270407
-193.780071,135,1770.453281
-181.871582,125,1770.572502
-172.238562,120,1770.631778
-183.928045,119,1770.692153
-189.205691,122,1770.753846
-191.858251,123,1770.814593
-180.386813,121,1770.873736
-180.764635,112,1770.930645
-197.020076,133,1814.097092
-177.081358,117,1814.390976
-187.142514,127,1815.012621
-217.189181,144,1815.298743
-176.988134,117,1815.584496
-177.698809,119,1815.930476
-177.460532,121,1816.581909
-182.204768,124,1816.82515
-179.901414,122,1817.454845
-182.770179,123,1817.649841
-189.633398,128,1817.791532
-186.628485,122,1817.928403
-179.360565,112,1817.992296
-180.489457,118,1818.06392
