EpLenMean,EpRewMean,EpThisIter,EpisodesSoFar,SuccessInsertion,TimeElapsed,TimestepsSoFar
150.0,-619.5943635124116,99,99,0,45.92252779006958,14850
150.0,-639.7691036854516,99,198,0,101.00253009796143,29700
150.0,-658.154097775149,99,297,0,150.528014421463,44550
150.0,-641.3274513105234,99,396,0,194.19236636161804,59400
150.0,-594.3514440047522,99,495,0,241.54653096199036,74250
150.0,-624.3869578016746,99,594,0,285.54546570777893,89100
150.0,-555.9034747542564,99,693,0,329.2828469276428,103950
150.0,-614.2599794807421,99,792,0,373.5362412929535,118800
150.0,-537.3258225120743,99,891,0,421.1047713756561,133650
150.0,-525.6837903871066,99,990,0,467.6765172481537,148500
150.0,-508.6464516616653,99,1089,0,509.97761034965515,163350
150.0,-480.28984764706973,99,1188,0,554.5908298492432,178200
150.0,-529.0452665220101,99,1287,0,604.5905470848083,193050
150.0,-538.5169913042109,99,1386,0,649.5982930660248,207900
150.0,-477.63011442823756,99,1485,0,693.9523212909698,222750
150.0,-464.6098321495143,99,1584,0,738.8413336277008,237600
150.0,-467.28589144999097,99,1683,0,783.8491559028625,252450
150.0,-457.9628217226782,99,1782,0,826.8277869224548,267300
150.0,-430.21296892883254,99,1881,0,871.8004939556122,282150
150.0,-415.36165351366907,99,1980,0,918.5120151042938,297000
150.0,-419.6748263689568,99,2079,0,963.5699756145477,311850
150.0,-398.99009728453655,99,2178,0,1006.6737251281738,326700
120.0,-300.94661283247603,100,2278,1,1051.080406665802,341550
150.0,-352.4245835201882,100,2378,1,1099.5009450912476,356400
120.0,-274.91779679561205,106,2484,7,1143.8325974941254,371250
150.0,-332.78785885732304,114,2598,22,1195.0281155109406,386100
150.0,-347.2051506419154,116,2714,22,1245.8268785476685,400950
113.4,-249.69235213862157,128,2842,34,1291.8294582366943,415917
150.0,-399.95360785599047,120,2962,25,1337.1251277923584,430767
126.0,-357.9664134726758,106,3068,9,1387.1180245876312,445617
150.0,-405.70053953478066,105,3173,9,1437.319638967514,460467
150.0,-390.44878816674316,112,3285,15,1481.5029594898224,475317
150.0,-373.0408137301937,108,3393,12,1526.7733693122864,490167
150.0,-355.7126206878408,111,3504,16,1570.6477718353271,505017
116.4,-254.53448467603576,111,3615,12,1615.7949528694153,519999
113.4,-226.37217521480244,121,3736,22,1665.752138376236,534966
144.4,-323.3582250223362,133,3869,35,1714.2015898227692,549938
120.0,-290.25656752669124,141,4010,42,1762.1627213954926,564788
90.0,-193.65453411502372,157,4167,58,1812.456872701645,579638
116.6,-250.5410888764298,161,4328,63,1866.8000338077545,594621
113.2,-242.87057657905203,148,4476,49,1909.9988691806793,609587
68.6,-161.56042488736938,148,4624,49,1955.1916120052338,624437
95.8,-227.48068881596447,152,4776,53,2000.1106803417206,639287
111.6,-216.71923489400328,149,4925,50,2051.3298618793488,654245
83.0,-166.1160097756189,144,5069,45,2102.919778108597,669210
142.6,-325.6565566125081,156,5225,57,2152.0559384822845,684173
120.0,-279.806395720325,153,5378,54,2197.189764022827,699023
83.8,-156.34681916877193,158,5536,59,2241.8265018463135,713992
90.8,-187.1245466401868,159,5695,60,2291.2683460712433,728951
90.0,-184.0659513594939,155,5850,56,2345.523801803589,743910
93.4,-207.37441362989085,158,6008,59,2396.8248052597046,758879
