# {"t_start": 1591396634.0001178, "env_id": "Block2D-v1"} 
r,l,t
-223.216811,130,1084.983464
-237.063304,134,1147.187948
-205.78805,131,1443.303402
-186.352967,112,1445.063284
-174.238325,111,1454.263149
-172.475845,104,1508.554759
-180.155083,133,1554.447289
-156.127601,101,1556.009656
-132.719563,98,1654.366404
-136.99639,91,1655.460475
-127.550567,102,1711.531424
-112.037502,87,1714.680727
-152.565361,109,1717.416328
-129.234415,96,1766.196145
-134.393326,96,1807.187983
-135.571666,92,1808.638548
-170.220405,142,1809.66696
-158.660339,138,1809.987969
-122.637076,90,1813.172769
-166.011368,130,1858.287503
-144.120942,108,1860.504864
-145.867031,95,1861.441244
-145.737108,116,1861.626211
-150.485489,118,1862.435878
-146.215487,122,1862.929015
-166.614977,146,1863.279755
-143.877378,117,1864.064844
-136.133153,93,1864.516162
-157.697795,134,1865.69697
-151.342924,129,1868.132949
-138.943867,92,1870.35137
-137.844405,90,1908.6995
-159.190002,128,1909.057289
-155.083719,128,1909.213755
-132.49816,96,1909.331748
-148.271524,117,1910.147947
-148.012525,123,1910.631418
-133.910095,96,1910.91239
-149.934425,128,1911.260425
-127.970276,88,1911.371962
-152.656275,112,1912.3537
-116.630401,93,1912.485969
-139.61672,130,1912.840373
-134.49418,118,1913.138983
-145.427948,113,1913.449331
-124.870168,87,1913.733161
-121.671075,85,1916.593479
-133.126666,112,1917.567477
-138.488485,103,1918.509615
-132.734905,90,1919.119725
-122.079866,90,1919.269475
-149.144104,115,1919.603948
-137.141941,95,1919.893782
-127.90306,88,1920.838675
-130.894079,96,1959.512537
-133.618645,116,1959.859399
-148.083608,112,1960.500752
-126.538,88,1960.626637
-158.610493,133,1960.830748
-146.410515,104,1961.440578
-177.059535,149,1962.457458
-129.348306,95,1962.716032
-140.546251,94,1963.022654
-148.204229,114,1963.683157
-165.388836,124,1964.013444
-132.102741,107,1964.149523
-160.781316,134,1964.825984
-134.074987,111,1964.958569
-132.124777,91,1965.579432
-158.919429,133,1966.422604
-127.389953,89,1967.338769
-134.12984,103,1967.670111
-140.08031,99,1967.981989
-166.644895,137,1968.815358
-163.996324,124,1968.959491
-144.212141,116,1969.104416
-139.024908,99,1969.718601
-142.977392,124,1969.900849
-138.367564,101,1970.026452
-143.441031,121,1970.518571
-130.535207,111,1970.66273
-130.667897,91,1970.950591
-140.935208,107,1971.115854
-128.407874,86,1971.238889
-137.453625,108,1971.411603
-121.889146,98,1971.880487
-150.919748,124,2010.869668
-122.721221,85,2011.130937
-139.527991,109,2011.7843
-146.115787,99,2011.926696
-148.404732,118,2012.100176
-137.658745,115,2012.254744
-140.240142,112,2012.408561
-134.028748,96,2012.544317
-144.080928,110,2012.711432
-143.084166,121,2012.878566
-138.509182,110,2013.024783
-117.061843,84,2013.148824
-146.19448,115,2013.332752
-121.064366,92,2013.46039
-152.289411,115,2014.119426
-145.312177,113,2014.272689
-146.462276,116,2014.594974
-137.665584,96,2014.725048
-138.069602,97,2015.038414
-151.074862,130,2015.227021
-159.623321,136,2015.395384
-131.902487,107,2015.675627
-132.728584,104,2015.984755
-143.04329,114,2016.307133
-131.913237,94,2016.598717
-131.351099,99,2016.755422
-139.642759,99,2016.906614
-134.545912,101,2017.059429
-142.395727,112,2017.546169
-138.685414,112,2017.863735
-144.255636,119,2018.829426
-137.748226,98,2018.960068
-132.298065,92,2019.264446
-145.104633,116,2019.441992
-131.897862,99,2019.738435
-151.772158,112,2019.90594
-142.962785,112,2020.860996
-151.553518,114,2021.332887
-160.076055,126,2021.498978
-124.864547,87,2021.608497
-124.063707,93,2022.080946
-140.819863,121,2022.264603
-144.478724,125,2022.427581
-133.012063,91,2022.544749
-142.136301,109,2022.718702
-144.580583,99,2022.860691
-132.867964,103,2061.407161
-134.392356,107,2061.566023
-131.251766,103,2061.876275
-154.370853,117,2062.20793
-153.239268,119,2062.52586
-124.222512,89,2062.80247
-147.268524,112,2063.136974
-150.210124,120,2063.301209
-147.156088,120,2063.455523
-144.183266,109,2063.596462
-141.412195,111,2063.750183
-126.480536,88,2063.878945
-151.036577,122,2064.067866
-162.640564,132,2064.394474
-147.030045,110,2064.853471
-134.837002,105,2066.275639
-151.620179,122,2066.608762
-135.638839,103,2066.900041
-148.878839,114,2067.549292
-130.305123,87,2067.671796
-150.177054,120,2068.026364
-124.750425,92,2068.151976
-122.502699,91,2068.306743
-171.829283,149,2068.688644
-129.343072,88,2068.94186
-125.990514,89,2069.573896
-127.058055,95,2069.733643
-149.734014,103,2069.891716
-149.860881,114,2070.058121
-144.725103,118,2070.21864
-162.220152,118,2070.85658
-123.786667,90,2070.982125
-147.99731,116,2071.804667
-149.427904,119,2072.12786
-132.038954,88,2072.410526
-136.066494,104,2072.58315
-137.821783,105,2072.739528
-137.043058,105,2073.055016
-143.457311,118,2073.710684
-123.467014,86,2113.134382
-133.099726,90,2113.290776
-129.128976,101,2114.417065
-154.060204,121,2114.757529
-117.371495,90,2114.879429
-134.869281,90,2115.352505
-140.141152,121,2115.542908
-136.766965,104,2115.680085
-136.911994,90,2116.141638
-147.111453,112,2116.645406
-124.022356,85,2116.932525
-119.094332,88,2117.253402
-137.116962,101,2118.073141
-129.08171,90,2118.868683
-127.198955,101,2119.035804
-128.605108,95,2119.186138
-132.915881,99,2119.668018
-137.833552,111,2119.998731
-140.79294,115,2120.162959
-135.501478,101,2120.459146
-153.833798,118,2120.632622
-117.183601,85,2121.076484
-116.820802,84,2121.229773
-130.612165,102,2121.404455
-143.07005,106,2121.891751
-113.810805,82,2122.344738
-129.559366,101,2122.520497
-130.694476,89,2122.658777
-163.321203,135,2123.027663
-133.776399,108,2123.31787
-119.154109,85,2123.444556
-132.110388,99,2123.614983
-123.246002,98,2123.768598
-118.836991,90,2124.235924
-131.385999,91,2124.390678
-138.699966,105,2124.56126
-132.927869,100,2125.036808
-130.755775,103,2125.356998
-132.237617,94,2125.500857
-138.517412,110,2164.786773
-132.790202,94,2164.924682
-160.539681,131,2165.278361
-132.601514,102,2165.404126
-143.152952,111,2165.568255
-129.894038,101,2165.871226
-137.034592,102,2166.024584
-155.079608,119,2166.3545
-145.310786,104,2166.492933
-136.551782,110,2166.653894
-146.536566,114,2166.811686
-135.153924,104,2166.954498
-139.299256,107,2167.111399
-139.926532,107,2167.425098
-141.316738,111,2167.744469
-136.730229,105,2168.05309
-128.836551,102,2168.202984
-133.361084,101,2168.358133
-142.382597,109,2168.521439
-142.665346,111,2168.677689
-134.141956,104,2168.823567
-129.497532,101,2168.973852
-154.088796,122,2169.149993
-135.823742,102,2169.28522
-132.191062,100,2169.435369
-151.637645,122,2169.613662
