EpLenMean,EpRewMean,EpThisIter,EpisodesSoFar,SuccessInsertion,TimeElapsed,TimestepsSoFar
150.0,-642.5210636142302,79,79,0,63.44460344314575,11851
150.0,-611.7488972063478,79,158,0,125.23219275474548,23702
150.0,-636.8075053732694,79,237,0,189.3522171974182,35553
150.0,-661.4927857630843,79,316,0,253.2660837173462,47404
150.0,-623.2522670376902,79,395,0,311.6713984012604,59255
150.0,-632.6164256461867,79,474,0,373.16764974594116,71106
150.0,-605.7547967672687,79,553,0,434.77648735046387,82957
150.0,-651.0725262730186,79,632,0,496.0124046802521,94808
150.0,-633.2462331792293,79,711,0,558.0087668895721,106659
150.0,-659.5660400157391,79,790,0,618.2514743804932,118510
150.0,-634.8630563947515,79,869,0,678.1314504146576,130361
150.0,-657.598470126133,79,948,0,738.7833786010742,142212
150.0,-646.7677001260657,79,1027,0,795.8099565505981,154063
150.0,-639.6549930047645,79,1106,0,851.2469947338104,165914
150.0,-670.1559971825884,79,1185,0,906.3126635551453,177765
150.0,-703.5725592778277,79,1264,0,955.377357006073,189616
150.0,-697.8993117739401,79,1343,0,1003.0929517745972,201467
150.0,-692.8202324093926,79,1422,0,1049.4462447166443,213318
150.0,-734.5052700333715,79,1501,0,1092.1434516906738,225169
150.0,-631.5462934142297,79,1580,0,1134.526805639267,237020
150.0,-607.9970487412155,79,1659,0,1176.4635019302368,248871
150.0,-653.9393150441913,79,1738,0,1217.362165927887,260722
150.0,-569.0983526884321,79,1817,0,1259.0380392074585,272573
150.0,-669.1325799614946,79,1896,0,1300.4697728157043,284424
150.0,-612.0148248924689,79,1975,0,1342.3943183422089,296275
150.0,-585.1151480099161,79,2054,0,1383.439947605133,308126
150.0,-585.7568189631951,79,2133,0,1425.4353239536285,319977
150.0,-551.214217643109,79,2212,0,1467.4260885715485,331828
150.0,-540.5627490533359,79,2291,0,1509.2428278923035,343679
150.0,-518.5844234623247,79,2370,0,1550.654090166092,355530
150.0,-551.7604402694348,79,2449,0,1591.556812763214,367381
150.0,-535.72307732754,79,2528,0,1630.6117043495178,379232
150.0,-470.4495811617542,79,2607,0,1670.158603668213,391083
