EpLenMean,EpRewMean,EpThisIter,EpisodesSoFar,SuccessInsertion,TimeElapsed,TimestepsSoFar
150.0,-629.7566123947196,99,99,0,25.021113872528076,14850
150.0,-644.8106232450361,99,198,0,49.284006118774414,29700
150.0,-640.6118670367442,99,297,0,73.26418399810791,44550
150.0,-601.765203967993,99,396,0,97.11530184745789,59400
150.0,-540.652906813701,99,495,0,121.8434464931488,74250
150.0,-611.8327751264719,99,594,0,145.97001314163208,89100
150.0,-576.2601734602542,99,693,0,169.39994072914124,103950
150.0,-553.5190743291612,99,792,0,194.65954995155334,118800
150.0,-530.6887640440592,99,891,0,218.56693983078003,133650
150.0,-505.1404267566231,99,990,0,245.55828714370728,148500
150.0,-493.1208745837366,99,1089,0,269.3927073478699,163350
150.0,-479.48558266748876,99,1188,0,293.2583224773407,178200
150.0,-472.8694675738516,99,1287,0,316.7242052555084,193050
150.0,-472.19153923317174,99,1386,0,340.5789580345154,207900
150.0,-456.5467635634858,99,1485,0,364.99299025535583,222750
150.0,-452.63774324432643,99,1584,0,389.0008900165558,237600
150.0,-450.1184616610861,99,1683,0,412.8923673629761,252450
150.0,-444.8723907420987,99,1782,0,437.00136709213257,267300
150.0,-446.78202206833123,99,1881,0,460.1423270702362,282150
150.0,-445.77002805335803,99,1980,0,484.3330113887787,297000
150.0,-434.06289016638385,99,2079,0,508.3476905822754,311850
150.0,-431.9843018319476,99,2178,0,533.8722372055054,326700
150.0,-432.19128900545604,99,2277,0,558.4052283763885,341550
150.0,-425.31849217253955,99,2376,0,583.7407398223877,356400
150.0,-423.6152048970547,99,2475,0,607.9936761856079,371250
150.0,-420.0732013869514,99,2574,0,632.0574643611908,386100
150.0,-418.6077719145662,100,2674,1,655.8666367530823,400950
150.0,-417.28635328135806,99,2773,0,680.3248434066772,415800
150.0,-414.50996889424613,99,2872,0,705.3922624588013,430650
150.0,-416.1790594816374,99,2971,0,730.0006802082062,445500
150.0,-417.48623477536273,99,3070,0,754.2879934310913,460350
150.0,-419.3609950629677,101,3171,2,778.5394551753998,475200
150.0,-417.63704099537955,100,3271,2,802.703432559967,490050
150.0,-407.83825473452623,101,3372,3,827.1873054504395,504900
