EpLenMean,EpRewMean,EpThisIter,EpisodesSoFar,SuccessInsertion,TimeElapsed,TimestepsSoFar
150.0,-608.9904735202468,79,79,0,61.76982831954956,11851
150.0,-649.1856266251322,79,158,0,124.00824213027954,23702
150.0,-635.1137114283435,79,237,0,188.22148871421814,35553
150.0,-637.471456762342,79,316,0,247.9890489578247,47404
150.0,-607.6884023461015,79,395,0,310.8523886203766,59255
150.0,-572.6526897739502,79,474,0,369.78143072128296,71106
150.0,-562.0738683089581,79,553,0,430.26642870903015,82957
150.0,-541.365247213758,79,632,0,487.51318407058716,94808
150.0,-521.4081593165712,79,711,0,545.8923668861389,106659
150.0,-491.33664027278417,79,790,0,607.4275751113892,118510
150.0,-483.9946568777726,79,869,0,665.5324368476868,130361
150.0,-478.167412948544,79,948,0,724.6773581504822,142212
150.0,-447.2031217841797,79,1027,0,786.3811376094818,154063
150.0,-412.4260211409828,79,1106,0,847.6022770404816,165914
150.0,-423.03170607420805,79,1185,0,910.6187191009521,177765
150.0,-421.54660356939587,79,1264,0,972.8515105247498,189616
150.0,-418.92353172158937,79,1343,0,1034.839298248291,201467
150.0,-390.9066453101518,79,1422,0,1097.2340230941772,213318
150.0,-395.4859565639228,79,1501,0,1159.915444135666,225169
150.0,-400.13775897669694,79,1580,0,1221.1265814304352,237020
150.0,-396.2556691542153,79,1659,0,1281.3195729255676,248871
150.0,-379.7549048123527,79,1738,0,1342.9656660556793,260722
150.0,-361.8775590850726,79,1817,0,1408.0050058364868,272573
150.0,-351.20779355415027,79,1896,0,1469.7071979045868,284424
150.0,-353.0043915356974,79,1975,0,1531.2702400684357,296275
150.0,-343.9020400692023,79,2054,0,1595.9689474105835,308126
150.0,-369.44981052352904,79,2133,0,1655.097404241562,319977
150.0,-424.4300997421951,81,2214,2,1714.4476599693298,331828
150.0,-439.34870670306617,80,2294,1,1777.8741073608398,343679
150.0,-444.8765844593472,80,2374,1,1838.4475419521332,355530
150.0,-448.40132042090056,79,2453,0,2143.885657787323,367381
150.0,-452.1816783944822,80,2533,1,2203.96280169487,379232
150.0,-453.2863875818267,80,2613,1,2263.5323741436005,391083
150.0,-391.04376267015857,80,2693,1,2322.8032236099243,402934
150.0,-459.2003293562451,80,2773,2,2381.187691926956,414785
150.0,-441.9503031693754,79,2852,0,2438.7012073993683,426636
150.0,-358.7097104735773,80,2932,1,2496.600793838501,438487
150.0,-361.65510920626997,80,3012,1,2554.34246969223,450338
150.0,-378.1482387694576,79,3091,0,2614.346160888672,462189
150.0,-374.28569914492283,79,3170,0,2676.9183990955353,474040
150.0,-351.71061200626286,80,3250,1,2734.7124087810516,485891
150.0,-324.0453625669944,79,3329,0,2792.283311367035,497742
150.0,-332.24974892759536,79,3408,0,2849.771921634674,509593
150.0,-325.45456628953843,79,3487,0,2910.3653876781464,521444
150.0,-309.2094769869623,79,3566,0,2968.806806087494,533295
150.0,-296.0931562564804,79,3645,0,3028.1401686668396,545146
150.0,-284.41808098763414,79,3724,0,3088.250214576721,556997
150.0,-283.40907221295004,79,3803,0,3146.547585964203,568848
150.0,-283.9016224169068,79,3882,0,3204.139887571335,580699
150.0,-279.426487192262,79,3961,0,3262.7363283634186,592550
150.0,-267.89549007929855,80,4041,1,3320.550874233246,604401
150.0,-268.5874907732317,79,4120,0,3377.925726890564,616252
150.0,-266.2661751273946,80,4200,1,3437.870665550232,628103
150.0,-296.21373204854183,79,4279,0,3494.4236052036285,639954
150.0,-279.4523887233251,80,4359,1,3551.5294806957245,651805
150.0,-273.96007098724465,80,4439,1,3610.3865616321564,663656
150.0,-264.6649173763749,80,4519,1,3669.2402579784393,675507
150.0,-277.2703667983519,79,4598,0,3725.292327404022,687358
150.0,-289.3701502337979,80,4678,1,3782.905186653137,699209
150.0,-321.73691852823197,79,4757,0,3845.020684480667,711060
150.0,-275.43855082236007,79,4836,0,3906.6851387023926,722911
150.0,-269.76172900566644,79,4915,0,3966.9494841098785,734762
150.0,-271.5205232008191,81,4996,2,4025.7650430202484,746613
150.0,-262.9423353423355,79,5075,0,4082.4363882541656,758464
150.0,-289.40168659380726,79,5154,1,4139.021836519241,770315
150.0,-257.8168334751875,80,5234,1,4199.729954481125,782166
150.0,-262.679808464576,79,5313,0,4258.393044233322,794017
150.0,-264.5624424012773,80,5393,1,4317.344118595123,805868
150.0,-256.1022420309814,80,5473,2,4375.628049850464,817719
150.0,-268.16039121353623,79,5552,0,4433.091287612915,829570
150.0,-366.2231180641446,79,5631,0,4490.90376496315,841421
150.0,-258.46536452989204,79,5710,0,4548.8617062568665,853272
150.0,-261.9294875736804,80,5790,1,4608.589419364929,865123
150.0,-261.0515872310673,79,5869,0,4674.631989240646,876974
150.0,-258.45024978522775,79,5948,0,4735.312458276749,888825
