EpLenMean,EpRewMean,EpThisIter,EpisodesSoFar,SuccessInsertion,TimeElapsed,TimestepsSoFar
150.0,-632.3488299241932,79,79,0,19.750125408172607,11851
150.0,-622.4228021049363,79,158,0,37.578601598739624,23702
150.0,-620.9541038371024,79,237,0,54.6322979927063,35553
150.0,-602.5983160222574,79,316,0,72.09054636955261,47404
150.0,-553.0030913647361,79,395,0,89.30647802352905,59255
150.0,-535.9961385285935,79,474,0,107.78347325325012,71106
150.0,-519.1038830765096,79,553,0,125.43516683578491,82957
150.0,-529.2538489925028,79,632,0,142.44485473632812,94808
150.0,-508.35154395831717,79,711,0,164.22164821624756,106659
150.0,-517.9137338378611,79,790,0,182.421546459198,118510
150.0,-499.73877523408527,79,869,0,203.64427971839905,130361
150.0,-492.3728836522273,79,948,0,225.5533254146576,142212
150.0,-473.68868628208355,79,1027,0,246.48676919937134,154063
150.0,-454.5632781628583,79,1106,0,267.95049571990967,165914
150.0,-446.3748300739382,79,1185,0,289.2411775588989,177765
150.0,-465.90051903123157,79,1264,0,311.55291748046875,189616
150.0,-460.9966296907238,79,1343,0,328.5866346359253,201467
150.0,-446.5711163943296,79,1422,0,349.4098126888275,213318
150.0,-451.3482991724639,79,1501,0,371.46043372154236,225169
150.0,-415.57360754740637,79,1580,0,392.9588747024536,237020
150.0,-403.666757823744,79,1659,0,414.03745436668396,248871
150.0,-387.48138958935687,79,1738,0,431.50790524482727,260722
150.0,-396.7499094273154,79,1817,0,452.98964738845825,272573
150.0,-414.9707724773649,79,1896,0,475.10705614089966,284424
150.0,-423.15669905903576,79,1975,0,496.7919228076935,296275
150.0,-414.08479832847235,79,2054,0,518.6328201293945,308126
150.0,-384.1017629665277,79,2133,0,536.2010176181793,319977
150.0,-372.66177760135224,79,2212,0,553.5557916164398,331828
150.0,-388.7420364957658,79,2291,0,574.912148475647,343679
150.0,-389.0088783568757,79,2370,0,596.8887519836426,355530
150.0,-387.6431606314211,79,2449,0,617.9890632629395,367381
150.0,-380.76636601672465,79,2528,0,639.0761480331421,379232
150.0,-368.0161484525067,79,2607,0,660.4532494544983,391083
150.0,-363.1011745405359,79,2686,1,681.8861610889435,402934
150.0,-361.2859837848543,79,2765,0,702.4431476593018,414785
150.0,-357.3104891701023,79,2844,1,724.3286776542664,426636
150.0,-395.59491066494144,80,2924,1,745.602251291275,438487
150.0,-393.3559050503225,79,3003,0,767.3216137886047,450338
150.0,-399.4480895864263,79,3082,0,785.3071298599243,462189
150.0,-406.7380987754859,79,3161,0,807.1945140361786,474040
150.0,-393.7060161443622,79,3240,0,829.700115442276,485891
150.0,-392.37008542288635,79,3319,0,847.171281337738,497742
150.0,-384.4470176095732,79,3398,0,869.408899307251,509593
150.0,-399.59068831148335,79,3477,0,887.0550286769867,521444
144.6,-339.7975598749246,88,3565,10,908.6870160102844,533418
150.0,-393.3463059024512,79,3644,0,926.3397033214569,545269
150.0,-395.71229508714,79,3723,0,947.6991300582886,557120
150.0,-392.8584694443504,79,3802,0,965.2215673923492,568971
150.0,-414.9224708205894,79,3881,0,987.2884199619293,580822
150.0,-416.4908532688557,79,3960,0,1009.415931224823,592673
150.0,-399.40780627337733,79,4039,0,1030.7582302093506,604524
150.0,-392.2096043048933,79,4118,0,1052.357791185379,616375
150.0,-393.11313344863714,79,4197,0,1074.1489622592926,628226
