# {"t_start": 1591428119.561635, "env_id": "Block2D-v1"} 
r,l,t
-4.73477,45,218.916069
2.144233,40,218.962589
-76.940109,104,219.077442
3.025994,38,219.122341
-0.098767,40,219.163205
6.4907,36,219.277027
1.402882,39,219.316594
3.972933,37,219.43456
-4.186114,44,219.770736
-67.019665,91,220.003632
0.076386,39,220.044617
-1.39982,41,220.105728
5.144489,38,220.144394
-3.43052,45,220.19171
-0.393871,41,220.259185
3.269715,37,220.296223
1.146593,39,220.335839
4.664683,37,220.405905
0.696942,39,220.445466
-0.598823,41,220.566798
7.592974,36,220.602643
-2.169943,44,220.725884
-71.721564,94,220.827196
-59.710275,87,220.933473
-5.688419,45,221.045039
-0.591463,40,221.086462
4.248938,37,221.193888
1.708318,41,221.359644
-68.711663,92,221.579148
-71.228346,96,221.745321
3.177493,38,221.784666
-66.361889,92,221.900172
-4.482181,44,222.006123
-70.913201,94,222.109348
-1.41563,43,222.186724
-78.202584,104,222.299881
2.772541,38,222.341033
1.71258,40,222.502237
6.440486,36,222.53837
-0.223567,41,222.580934
-75.59524,97,222.717554
3.726201,37,222.755284
2.20518,39,222.810267
-1.023673,43,222.854371
5.183315,38,222.89287
1.331753,41,222.963506
2.369,38,223.00252
-1.450555,41,223.12094
3.80983,38,223.160734
-0.524942,41,223.201972
4.73646,37,223.268368
-78.919923,103,244.538689
-1.010093,43,244.583603
0.31641,41,244.630404
3.153783,38,244.667955
1.46773,38,244.780562
-55.455696,86,244.999899
0.393219,40,245.04133
-84.276315,106,245.182012
2.061343,39,245.221259
-68.471155,94,245.329313
3.086881,39,245.369241
-71.82667,95,245.490254
-58.141212,88,245.814775
-2.595751,42,245.875171
4.483734,37,245.931217
-59.983185,94,246.034189
3.694548,38,246.091484
3.516862,37,246.129416
1.217576,40,246.249828
0.989087,40,246.291462
2.86948,38,246.40482
-4.413931,45,246.451798
3.572003,38,246.489903
3.10672,39,246.55745
1.927172,39,246.596848
5.00316,38,246.636345
4.004872,37,246.876199
-64.863096,91,246.97657
-83.547001,106,247.114732
-115.085207,135,247.310444
2.415331,38,247.363761
3.621846,37,247.525214
0.925301,41,247.568193
6.592987,37,247.609631
1.466456,42,247.688877
6.294503,36,247.846016
2.065192,39,248.030399
-59.353705,87,248.125509
-76.043324,102,248.260396
4.104195,37,248.297789
2.037727,39,248.347251
-72.412417,96,248.453478
-72.647232,100,248.577391
1.024089,39,248.617358
2.425603,38,248.834855
4.619718,38,248.87421
1.956103,38,248.912812
2.873987,39,249.159546
1.04743,40,249.201109
2.526365,38,249.239465
-3.29409,43,249.317019
-58.668913,86,249.410913
3.235208,38,249.639055
-47.337512,81,250.020571
0.764548,42,250.159832
4.373823,37,250.197417
-66.847353,93,250.545648
-0.301983,40,250.58663
5.801822,37,250.640738
5.144646,37,250.678624
1.622506,40,250.801605
2.107074,40,250.965644
-56.71561,88,251.062249
4.891258,37,251.122098
0.830233,41,251.291006
3.288424,38,251.450802
-1.587772,41,251.620891
1.042855,41,251.66333
5.447503,37,251.775824
6.569215,36,251.812932
0.370592,41,251.855557
-78.063854,102,252.00507
1.817762,39,252.094535
2.627357,38,252.133151
3.903398,37,252.249442
4.647689,37,252.305598
4.39548,39,252.42743
-42.362022,79,252.513165
3.895982,37,252.585846
-0.774151,43,252.630867
4.436975,37,252.668758
3.817699,38,252.739966
6.187216,37,252.777641
-1.422032,43,252.822154
-3.09512,45,252.901284
3.346388,37,252.938812
1.123949,41,253.053681
2.425066,38,253.092722
3.1156,38,253.132052
-65.898111,95,253.269771
-4.41279,46,253.31785
3.09366,39,253.366901
-69.688233,96,253.472983
-58.796388,92,253.588409
2.968665,38,253.628194
4.940935,37,253.68505
4.417641,38,253.848499
-0.462574,41,254.014988
3.132457,37,254.053183
-98.537938,113,254.258322
-59.730846,96,254.402784
3.017778,38,254.46044
0.969016,40,254.516834
3.62406,38,254.554822
4.452389,38,254.594763
2.229241,38,254.667935
-4.510236,46,254.71604
2.921169,38,254.99345
1.655172,39,255.325353
2.851433,38,255.488483
-65.598999,91,255.587678
-68.612417,95,255.712405
-0.321294,39,255.752786
1.803139,40,255.809344
0.726627,39,255.849212
4.700128,37,255.886582
2.730603,37,255.958584
-63.424833,93,256.060692
-85.485869,106,256.196709
3.842071,38,256.280896
-1.071478,42,256.324046
3.531413,39,256.43935
-65.969056,92,256.540783
-72.806657,98,256.687072
-1.408102,42,256.730456
-59.549389,91,256.840109
-64.316102,93,257.33944
-62.982244,91,277.446325
-5.850345,45,277.494365
3.75818,39,277.551058
-58.386998,88,277.649452
-1.818451,42,277.71533
-2.469572,43,277.761948
0.41324,41,277.899074
-62.858676,93,278.032018
6.39942,36,278.08704
-67.581668,93,278.220351
5.919951,37,278.459398
2.491551,41,278.505601
6.29378,36,278.546488
-67.882253,94,278.693847
-72.448788,99,278.871253
2.335372,39,278.912801
-61.868094,89,279.029244
3.768692,37,279.078478
-0.893488,43,279.156318
6.085778,36,279.204193
3.227381,40,279.341237
-5.339583,45,279.38952
3.740221,38,279.429981
4.838193,37,279.494969
-73.580878,99,279.609761
-5.441685,45,279.675854
0.874209,39,279.718446
-68.815445,101,279.911394
2.401433,39,280.00384
5.097868,36,280.041643
1.813157,39,280.164856
0.288499,40,280.206165
-69.74898,98,280.419731
-73.728619,100,280.588336
1.110447,40,280.630966
-53.70882,82,280.733516
-2.052584,43,280.778995
-3.291478,44,281.025163
0.585093,39,281.065994
4.733851,37,281.104783
-47.765833,83,281.226636
1.402103,39,281.266622
-90.349827,107,281.414603
-108.335146,131,281.609096
3.839034,37,281.668268
-1.102449,43,281.71588
5.416205,37,281.755004
-3.162437,44,282.010644
0.923431,40,282.053185
4.809484,37,282.092357
6.366051,37,282.1601
2.319456,40,282.202928
6.278531,37,282.322392
4.788603,37,282.36022
0.917507,39,282.400126
3.829199,37,282.49637
-77.183263,99,282.606671
-59.290228,89,282.718392
-2.227433,43,282.763543
-81.502555,109,282.902451
3.540662,37,282.941009
1.45033,39,282.985764
-59.899678,88,283.083493
4.038121,38,283.145859
1.465493,39,283.18608
1.163404,38,283.224648
-62.138018,92,283.3649
2.623275,39,283.405869
4.043542,39,283.464978
-1.52188,44,283.511518
2.38982,42,283.555388
-63.64609,89,283.679021
-0.171408,44,283.724976
-80.057708,104,284.029919
1.336363,40,284.071607
2.857617,39,284.118289
-0.100184,40,284.159903
-3.333401,43,284.205441
-64.828151,93,284.506827
-0.57224,43,284.632309
3.342891,37,284.670468
4.94015,37,284.708405
-4.405657,44,284.788489
3.289136,38,284.828405
4.164029,37,284.939952
1.339386,40,284.981121
0.429494,43,285.026129
-1.25894,41,285.099159
-78.541948,99,285.209279
-58.1462,88,285.316436
-1.495899,42,285.360021
2.577647,38,285.417938
-87.011481,105,285.535789
4.885116,37,285.581121
1.739393,40,285.919204
-0.729924,43,285.964537
4.692713,37,286.002244
-75.576559,100,286.143436
-3.077812,44,286.243241
4.041495,37,286.281477
1.5376,40,286.323838
-76.622135,101,286.465807
-88.671416,105,286.635387
5.453373,37,286.673114
0.893809,41,286.724254
2.156362,39,286.78362
0.851131,38,286.822246
-54.442396,82,286.942503
1.592377,40,287.057583
2.533221,41,287.101222
5.240538,36,287.137837
-87.647967,107,287.287932
2.290182,39,287.373332
-75.249848,101,287.485403
1.000585,39,287.535793
-64.655709,88,287.633244
3.308715,38,287.695532
-83.694788,107,287.814461
-61.26115,90,287.918975
3.684782,37,287.957352
-59.856236,89,288.244767
4.296386,38,288.283544
-58.837762,87,288.400038
1.356455,40,288.441197
4.837387,37,288.501148
-80.085594,104,288.616349
8.135066,35,288.661268
1.000685,40,288.702671
3.615084,38,288.742021
3.263372,37,288.779793
-37.754246,76,288.865323
5.307023,38,288.92092
3.480337,39,289.000187
3.591085,39,289.039764
-1.393672,40,289.080471
2.592627,40,289.152419
-2.733354,44,289.197756
3.676207,38,289.307199
4.036324,37,289.344011
1.377451,41,289.386472
-67.449084,91,289.518295
5.922168,37,289.555965
-59.794969,88,289.670506
0.90963,40,289.711161
3.988708,38,289.770468
3.01334,39,289.811348
5.491143,37,289.848338
1.495352,41,289.927115
0.428546,40,289.967347
-6.735141,46,290.08819
0.919487,40,290.128692
-0.791455,39,290.168805
0.807728,41,290.234498
-81.493291,102,310.053246
3.105146,38,310.145918
-67.442944,97,310.254229
-64.747469,90,310.366939
2.266567,39,310.4065
-65.77445,92,310.571215
-71.096684,98,310.739227
0.221173,39,310.778402
1.6184,40,310.99908
5.16338,36,311.035691
-2.78929,43,311.080391
-59.859178,86,311.203737
3.909952,40,311.244828
-60.825901,89,311.363824
3.51107,39,311.403007
4.06582,38,311.463141
-1.645879,43,311.62983
1.482995,40,311.671241
-0.834228,41,311.712419
3.040029,38,311.774934
-0.536482,42,311.816792
3.389357,38,311.855304
3.473615,37,311.92394
-59.068033,86,312.017315
-61.030368,94,312.311775
2.773256,39,312.351614
3.579407,38,312.572289
-59.845244,87,312.68529
1.743687,39,312.749567
5.086435,37,312.786757
-9.492921,48,312.838881
-117.715203,131,313.0074
3.039126,38,313.06351
-65.737988,93,313.165076
-70.171973,95,313.285928
-3.555061,45,313.333145
4.405638,37,313.380721
1.259674,39,313.420625
-65.019476,89,313.596187
1.61899,41,313.640359
0.945254,41,313.702801
1.14628,39,313.744035
4.447357,36,313.780941
-60.927257,88,313.910766
2.19359,40,313.95213
4.189319,38,314.01248
1.828484,41,314.055483
-65.044758,91,314.233187
2.038521,39,314.272762
4.190067,37,314.330141
-69.932042,93,314.558071
2.549966,38,314.596779
2.228498,38,314.653989
-2.379916,43,314.852018
2.420625,40,315.011644
1.744344,39,315.051708
1.221102,40,315.169511
6.328185,36,315.20667
-60.284514,89,315.383795
-74.829657,100,315.557478
1.022831,41,315.650085
4.146896,38,315.688167
-4.4988,43,315.731545
2.096841,39,315.796937
2.486549,38,315.834653
-77.22869,101,316.023565
1.102037,40,316.115579
0.387377,40,316.156114
2.720939,39,316.436942
4.549603,39,316.477093
-60.231491,89,316.64962
-3.667084,44,316.75966
-52.56748,82,316.848651
-70.905853,96,316.997963
-130.045946,150,317.220798
1.861161,41,317.262421
1.335713,39,317.301249
2.62396,38,317.415398
1.855701,39,317.577113
-76.197268,98,317.6831
1.201954,41,317.736861
