# {"t_start": 1591329093.5835388, "env_id": "Block2D-v1"} 
r,l,t
-173.746884,124,1917.461383
-149.51869,112,1971.071108
-143.654892,113,2017.906908
-85.353195,80,2287.682415
-102.975574,91,2328.866342
-117.46477,126,2331.241266
-107.234382,93,2335.791998
-94.732838,83,2342.151421
-93.076391,87,2342.328736
-114.014295,92,2380.985253
-103.084898,91,2382.296785
-130.087981,107,2387.623919
-101.57619,86,2387.943596
-112.056732,97,2388.117866
-131.891983,129,2436.109716
-97.854883,85,2444.025215
-103.981905,85,2489.740865
-107.879937,93,2494.495481
-109.821386,94,2496.436892
-132.391682,129,2499.059217
-104.476078,85,2540.158414
-108.03517,107,2546.991634
-123.73573,124,2547.680473
-109.130303,89,2592.347728
-115.638173,120,2593.680742
-95.285274,82,2595.617727
-117.142178,105,2597.787568
-111.706249,102,2598.436923
-137.744081,126,2599.460906
-114.09103,100,2600.248595
-118.241172,110,2642.914535
-119.260496,109,2643.872529
-111.143525,89,2649.416459
-126.941427,108,2650.58905
-149.06301,140,2695.147186
-128.516165,126,2697.970602
-111.339165,104,2698.443338
-103.389063,99,2698.605206
-112.547308,107,2699.606321
-148.197088,144,2704.272076
-107.926324,114,2704.403313
-98.943783,92,2705.361973
-99.958999,90,2705.690914
-104.028496,99,2748.922804
-135.708371,122,2749.267076
-134.291492,111,2749.601267
-113.892075,106,2750.250489
-93.46944,84,2753.446839
-127.30672,118,2754.140631
-92.937788,89,2798.889525
-118.475643,124,2800.27235
-113.03434,95,2800.599476
-130.520568,128,2801.224666
-113.621611,105,2802.889482
-149.344455,139,2805.619703
-119.872047,113,2806.993597
-107.490736,97,2807.147763
-90.980359,81,2808.059707
-124.917423,126,2808.618775
-139.178279,130,2809.280645
-132.669589,114,2810.430093
-120.543748,107,2810.912686
-84.773638,77,2811.906749
-113.792835,93,2852.140549
-100.659263,96,2852.303748
-93.636441,96,2854.440815
-112.798098,98,2855.274058
-106.8624,101,2855.60362
-112.221402,90,2856.082165
-120.399225,110,2856.267983
-106.903258,102,2857.585325
-148.348563,130,2859.923454
-96.543809,85,2860.365032
-104.969678,88,2861.027917
-105.150754,85,2861.856571
-136.332617,116,2862.052012
-125.70063,116,2862.705314
-118.60356,110,2862.86332
-124.553614,106,2902.748904
-140.438867,129,2903.912457
-150.689748,125,2905.073571
-145.379644,120,2905.230412
-123.303472,108,2912.156634
-127.049078,120,2957.224093
-111.95884,101,2962.283697
-115.662352,98,2998.612165
-129.075493,125,3004.978506
-129.750751,122,3011.390418
-121.101411,112,3053.059464
-97.847291,101,3059.127162
-117.716284,112,3059.989254
-112.13869,102,3098.995346
-113.601558,117,3105.182497
-99.27401,109,3107.091257
-94.009033,100,3151.404585
-98.266369,88,3152.855007
-95.977019,90,3155.455044
-79.106273,78,3157.715549
-96.546831,92,3159.537061
-101.188157,97,3161.98199
-109.149339,103,3163.426468
-95.758844,90,3201.098375
-88.366755,82,3203.205986
-98.157929,104,3204.209515
-102.562827,96,3205.510613
-93.272206,89,3206.159103
-98.995273,96,3206.823887
-81.451623,77,3207.624014
-72.896918,80,3207.792848
-86.889979,89,3208.788751
-89.606406,89,3209.278905
-116.798455,113,3209.792418
-97.575776,94,3254.358566
-100.4955,100,3254.842279
-104.821693,111,3257.123739
-98.167316,98,3257.948578
-88.523293,91,3258.798561
-83.559397,91,3258.96865
-79.016984,78,3259.117566
-96.051663,92,3259.676931
-97.873748,101,3260.177265
-97.842172,101,3261.805388
-73.952051,76,3261.941125
-110.8714,110,3262.474055
-81.816672,87,3262.783129
-102.565016,98,3262.971018
-79.709259,87,3263.768543
-79.445242,77,3264.238441
-107.997448,100,3305.038908
-97.752689,96,3306.347401
-131.639208,122,3308.942139
-104.621709,100,3309.238196
-116.132281,107,3310.365315
-111.143158,102,3310.687728
-94.393765,88,3311.490993
-103.528041,104,3315.288119
-97.715596,85,3316.069031
-112.92961,104,3316.903885
-94.975769,99,3357.302211
-92.347786,85,3357.941196
-77.967534,83,3358.903358
-90.543295,88,3360.352964
-82.156308,79,3363.439857
-97.248105,103,3367.025081
-87.919343,93,3367.343143
-112.887224,104,3368.005682
-87.702701,91,3368.151679
-108.470767,111,3368.336976
-85.19694,92,3406.760957
-96.159669,98,3406.93166
-109.85243,106,3407.919837
-85.460867,85,3409.703011
-94.190129,95,3411.020717
-81.148405,77,3411.327054
-89.928177,85,3411.497676
-100.251681,97,3411.675224
-101.751558,91,3413.352453
-93.340727,92,3414.374936
-98.078381,92,3415.858213
-85.218166,89,3417.283859
-88.365945,95,3418.013738
-87.544507,90,3418.510465
-89.163874,90,3457.652822
-99.578933,101,3457.99252
-122.209968,113,3460.949029
-122.305698,116,3461.460317
-107.233874,105,3463.107964
-99.364245,94,3463.767988
-98.891214,90,3466.075873
-106.409048,103,3469.592688
-101.53595,99,3469.918352
-103.403395,107,3508.361145
-117.655456,109,3510.833836
-109.431775,113,3516.180917
-106.155479,102,3516.33179
-106.679843,108,3558.016701
-104.833503,100,3558.332379
-109.731675,105,3558.825822
-117.174195,116,3559.159572
-84.805241,81,3562.679094
-101.507411,94,3566.560065
-74.278701,75,3567.191201
-100.563913,103,3568.544607
-92.285929,95,3570.163095
-88.704042,92,3570.639351
-108.095485,106,3609.07694
-86.73198,80,3611.172893
-100.624017,101,3612.018641
-91.212934,89,3615.914459
-82.385969,82,3616.714246
-89.177551,93,3619.331304
-95.326601,102,3619.667996
-86.614873,87,3619.815635
-76.511493,81,3619.973053
-81.882615,83,3620.13978
-101.720881,103,3620.975362
