EpLenMean,EpRewMean,EpThisIter,EpisodesSoFar,SuccessInsertion,TimeElapsed,TimestepsSoFar
150.0,-628.5458399338238,79,79,0,60.60346722602844,11851
150.0,-639.7136591074407,79,158,0,126.52578401565552,23702
150.0,-616.2073159489806,79,237,0,198.4051444530487,35553
150.0,-598.6647580811253,79,316,0,264.2800974845886,47404
150.0,-623.3630254612126,79,395,0,330.8028450012207,59255
150.0,-583.6988011631668,79,474,0,400.7045967578888,71106
150.0,-557.2737962737422,79,553,0,474.8677532672882,82957
150.0,-542.9829982623204,79,632,0,546.1623065471649,94808
150.0,-537.4744346114447,79,711,0,615.620778799057,106659
150.0,-539.9005150149312,79,790,0,680.791898727417,118510
150.0,-524.0914596243834,79,869,0,743.5549550056458,130361
150.0,-519.618348123171,79,948,0,808.1381545066833,142212
150.0,-521.9012157438829,79,1027,0,868.3432025909424,154063
150.0,-512.2735641251724,79,1106,0,930.8854360580444,165914
150.0,-499.44984387557815,79,1185,0,996.1409664154053,177765
150.0,-492.9663853957745,79,1264,0,1052.5086839199066,189616
150.0,-474.7836939650321,79,1343,0,1108.075618505478,201467
150.0,-463.37244718888877,79,1422,0,1162.7677068710327,213318
150.0,-452.43469084211677,79,1501,0,1217.8927309513092,225169
150.0,-445.8844821413959,79,1580,0,1272.052755355835,237020
150.0,-400.8902380551277,79,1659,0,1324.563949584961,248871
150.0,-365.3553552526709,79,1738,0,1378.2641644477844,260722
150.0,-348.51658219173777,82,1820,3,1434.612640619278,272573
150.0,-344.48989012814985,80,1900,1,1493.4241530895233,284424
150.0,-352.84887580587804,79,1979,0,1549.1178538799286,296275
150.0,-340.1656950292383,82,2061,3,1603.7223341464996,308126
150.0,-331.99932333627174,79,2140,0,1656.9627161026,319977
150.0,-328.6282482739965,79,2219,0,1711.7384765148163,331828
150.0,-317.64447323537837,79,2298,0,1767.510066986084,343679
150.0,-318.1530573023678,79,2377,0,1822.508258342743,355530
150.0,-309.58524860489695,79,2456,0,1877.5716345310211,367381
150.0,-304.2471039504517,79,2535,0,1932.632303237915,379232
150.0,-298.01950594213673,80,2615,1,1987.7172408103943,391083
120.0,-234.97063985251845,81,2696,2,2044.257087469101,402934
