# {"t_start": 1591316678.9509742, "env_id": "Block2D-v1"} 
r,l,t
-196.893888,145,710.093033
-189.953931,149,731.248127
-144.068674,113,815.383308
-137.477222,115,838.143439
-127.812152,107,916.912435
-143.812818,145,990.208276
-130.242937,149,1246.381422
-108.585768,126,1248.489465
-116.37071,129,1269.499712
-128.578614,138,1306.510486
-108.905763,125,1307.428027
-119.255925,122,1324.314129
-90.671826,108,1341.826213
-100.239622,112,1343.109779
-80.455506,98,1360.242578
-105.322418,126,1366.151671
-92.221562,116,1367.703535
-98.346609,115,1370.041674
-108.946195,113,1377.545626
-109.978527,126,1387.928504
-106.490845,112,1389.134499
-97.690887,104,1397.614656
-97.873963,112,1405.240573
-89.731373,106,1418.452216
-91.370363,107,1434.874631
-102.648079,120,1444.079288
-100.763818,116,1454.501644
-88.570867,115,1466.044239
-88.895734,113,1482.111304
-76.866182,101,1502.928769
-79.625698,102,1514.12237
-78.977817,98,1517.488231
-83.801329,104,1518.876962
-71.023033,97,1533.91426
-70.55839,91,1535.593712
-74.370202,101,1538.050451
-73.729635,101,1549.640078
-71.534036,95,1553.542625
-76.033733,95,1573.10213
-76.463261,98,1576.350887
-62.972352,89,1577.430235
-75.54142,99,1589.374887
-83.486799,98,1589.839855
-73.445774,93,1590.301073
-63.836156,87,1597.368905
-85.556883,95,1609.527786
-66.385735,91,1616.715286
-76.993977,91,1618.088505
-80.600934,92,1627.490469
-68.525064,90,1632.305381
-76.499128,88,1637.121846
-62.093966,89,1647.720824
-81.422024,94,1650.18348
-50.846776,76,1651.085149
-61.595387,85,1653.408269
-73.566068,100,1655.590137
-67.420922,93,1673.230592
-74.039452,99,1675.54264
-68.625575,90,1677.688013
-73.00368,99,1706.81349
-67.687355,96,1708.07248
-58.669111,89,1708.226352
-67.574569,96,1714.806978
-83.602499,95,1717.884328
-71.494197,100,1729.144304
-78.834402,98,1731.486992
-92.795597,109,1741.863258
-76.684245,98,1743.030541
-76.223829,98,1743.516049
-67.415919,98,1753.707366
-91.987993,106,1757.026899
-105.521897,122,1782.247662
-58.830586,69,1793.855238
-67.678384,93,1796.813269
-79.523893,104,1799.492365
-79.350992,110,1818.631493
-71.368802,106,1822.760183
-72.305805,101,1833.709663
-77.533236,107,1835.55686
-72.864353,92,1837.675637
-88.395633,107,1841.580148
-79.337389,101,1842.048978
-72.773714,96,1857.128671
-67.977769,95,1857.597299
-72.499693,98,1860.982285
-63.64573,91,1862.210351
-84.421249,103,1877.897992
-73.291808,102,1879.766626
-75.674301,100,1879.919391
-60.268927,98,1881.164129
-78.196818,95,1883.493459
-62.636914,95,1893.893066
-62.997226,89,1897.591264
-71.291806,103,1900.498445
-65.280581,96,1901.251487
-74.099855,105,1904.610165
-60.509181,95,1912.339678
-65.392154,92,1914.963171
-61.304178,98,1933.687239
-91.730135,117,1954.171234
-49.202158,82,1961.205154
-65.946763,96,1961.536781
-74.46323,97,1999.938844
-71.007254,93,2002.427749
-45.104355,80,2003.508797
-64.399115,91,2014.315922
-145.373152,144,2020.376971
-64.348522,97,2031.397655
-78.624781,103,2033.762984
-61.079029,88,2034.225063
-56.770163,89,2038.401215
-67.958103,99,2038.72161
-48.911755,83,2039.318341
-61.112643,90,2042.252848
-56.580509,87,2052.812384
-65.045461,95,2053.138299
-76.255116,101,2053.771975
-69.043651,91,2056.109957
-55.98779,91,2061.504073
-57.839141,88,2062.424711
-53.800029,79,2062.722022
-77.289158,97,2062.893555
-57.476448,86,2072.113311
-51.284327,89,2074.632473
-83.063702,112,2076.07181
-63.570686,88,2077.146739
-72.4832,100,2092.382699
-117.00835,110,2094.108568
-70.00472,99,2095.93829
-69.505583,98,2096.090069
-61.307709,93,2096.238184
-73.118849,96,2099.172889
-48.952211,91,2100.269323
-63.932038,87,2112.803839
-74.164071,101,2122.049772
-63.850521,97,2122.215322
-58.734081,92,2131.625234
-48.356601,83,2131.773685
-52.525395,84,2137.277842
-65.773571,88,2139.380266
-50.654828,80,2140.54681
-67.385348,92,2141.04816
-54.426379,75,2142.633674
-85.264398,109,2143.63787
-63.355728,88,2153.038886
-77.976219,86,2156.148383
-65.238192,85,2156.768999
-98.652676,103,2163.491172
-42.807073,75,2164.240492
-70.629539,93,2183.094007
-54.289113,87,2184.440958
-44.693776,76,2194.309486
-77.122892,95,2195.265684
-111.923612,121,2195.918639
-88.938684,102,2201.488696
-84.777197,99,2203.496335
-63.883795,94,2216.608985
-81.365058,90,2220.001029
-96.469544,85,2220.302149
-79.230286,100,2222.767459
-73.06245,101,2243.280091
-75.47942,100,2243.740394
-103.796963,110,2244.825981
-47.580427,81,2251.942816
-61.948251,86,2253.640294
-54.305957,86,2258.702376
-71.527074,91,2272.904404
-76.620188,96,2275.548257
-85.300847,102,2277.887599
-56.157622,79,2281.385269
-63.06538,94,2294.22558
-47.057162,83,2294.984039
-71.180295,96,2295.956943
-68.411687,76,2300.213969
-47.484447,83,2301.23753
-58.836745,88,2311.204196
