# {"t_start": 1590434444.49876, "env_id": "Block2D-v1"} 
r,l,t
-282.250393,145,1250.934219
-279.687518,145,1279.716223
-298.266827,149,1283.777432
-272.544699,128,1339.354883
-287.793646,149,1377.526346
-240.957914,137,1418.015776
-250.497032,130,1514.68448
-270.660203,146,1575.534041
-252.093342,149,1734.512473
-230.802291,135,1736.685549
-237.81711,129,1774.992418
-222.505224,116,1780.642773
-267.947282,150,1845.02777
-219.264047,116,1849.129369
-226.676442,145,1856.819457
-225.687624,148,1865.576205
-225.874786,124,1873.399549
-222.703505,142,1875.537248
-226.903513,145,1875.719882
-208.412165,119,1879.09662
-220.936295,116,1888.229878
-210.028389,112,1892.215097
-208.359375,121,1899.993431
-215.127195,133,1900.673131
-226.91818,117,1904.561678
-225.644411,146,1909.953109
-200.899459,110,1911.643707
-218.563392,142,1912.034178
-228.367345,147,1912.565553
-210.436236,112,1913.079534
-210.760374,129,1916.074875
-233.887773,145,1917.37942
-230.27946,146,1919.308208
-222.353835,144,1919.767391
-214.926421,140,1930.928631
-208.938982,121,1931.740824
-195.573923,114,1936.125079
-210.677814,134,1936.406891
-201.001705,118,1936.880743
-206.486148,118,1937.241113
-215.570225,126,1938.679982
-213.291263,145,1939.406161
-215.329266,140,1939.973344
-219.504077,144,1941.037253
-190.209806,105,1942.126757
-205.999829,138,1943.107474
-198.280266,117,1946.090216
-226.380863,147,1946.475284
-213.517927,112,1946.846349
-204.017051,128,1947.882927
-217.784382,142,1955.272583
-195.601886,108,1956.04853
-191.562394,114,1958.863158
-200.752404,109,1960.018564
-189.049188,114,1960.884926
-198.001704,107,1963.207692
-211.681711,113,1964.444679
-197.220998,108,1964.642768
-200.180042,117,1966.079297
-225.624235,145,1973.449099
-213.819043,143,1974.158063
-205.886806,118,1975.000912
-209.261192,130,1975.360044
-207.846018,119,1976.197656
-220.314931,143,1984.694437
-212.863578,139,1985.098528
-204.866914,118,1985.806317
-224.179565,142,1987.934895
-196.341021,115,1988.184631
-212.733672,138,1990.945526
-215.684847,142,1991.545189
-215.796927,140,1993.062401
-219.746297,141,1993.393139
-195.067162,108,1993.5439
-215.431001,141,1995.159763
-201.195406,129,1996.471993
-212.403424,134,1997.023377
-219.73003,141,1997.41718
-210.582366,128,1998.259227
-193.340013,108,2000.100487
-208.65798,140,2000.719016
-200.397148,117,2002.6137
-201.445089,110,2003.792139
-212.150373,135,2010.574325
-216.385344,140,2011.195441
-211.472806,133,2012.06989
-202.283999,131,2014.476359
-195.416167,117,2016.495486
-199.060774,119,2017.516971
-201.061681,109,2021.780009
-194.28704,108,2024.176175
-210.365033,112,2025.820788
-202.102479,130,2027.635882
-213.371936,142,2030.377227
-206.947834,119,2031.039609
-194.309315,114,2032.211984
-189.924255,106,2050.278925
-199.806862,108,2051.519238
-201.476213,131,2055.914906
-211.067336,137,2069.469097
-225.12436,146,2071.333824
-218.981873,133,2074.818884
-206.029338,136,2077.350824
-213.132802,138,2080.034582
-206.621272,117,2083.708119
-207.499322,132,2098.447369
-208.481405,133,2109.325532
-210.407429,111,2111.593178
-207.53407,110,2115.590575
-198.344227,117,2140.159131
-205.479374,119,2153.5287
-222.913954,143,2153.882525
-206.576292,118,2154.198961
-206.546004,110,2154.962737
-212.980102,136,2159.823752
-210.061852,120,2162.510663
-201.853888,117,2165.09529
-202.723016,130,2166.697277
-194.230699,116,2169.270353
-200.856754,128,2171.851085
-202.952453,118,2172.385999
-206.53659,111,2181.397603
-187.614039,105,2187.588247
-205.007084,110,2190.481883
-231.538344,149,2191.157968
-218.654816,137,2192.572916
-219.064798,145,2193.605705
-226.59555,140,2194.352008
-203.442794,111,2195.168705
-222.024006,145,2207.408759
-199.190748,116,2210.875783
-209.191073,112,2211.431498
-213.984474,122,2212.54268
-202.169494,110,2215.180324
-210.681993,143,2218.077841
-216.326573,143,2218.574424
-196.879486,108,2222.487842
-201.673694,116,2223.41335
-197.395146,117,2226.559606
-218.758125,143,2234.984641
-203.523374,111,2235.50283
-210.446029,112,2237.752993
-201.846085,117,2238.351153
-220.576196,142,2239.116201
-230.090129,139,2242.24528
-205.050306,119,2248.033868
-206.231342,118,2251.455522
-213.273436,120,2252.420186
-209.871233,121,2264.93612
-205.303243,119,2265.750403
-211.276239,112,2269.425446
-218.02582,150,2274.45679
-211.15409,144,2275.896788
-227.849717,147,2278.546907
-190.602085,107,2287.354934
-201.625093,132,2287.812266
-201.829239,111,2290.68353
-194.648319,108,2290.975543
-200.916789,118,2295.057615
-205.184274,111,2303.54134
-197.287692,117,2303.87036
-196.948271,109,2304.208419
-204.462113,120,2306.425879
-196.068338,109,2306.60601
-204.589817,141,2314.459749
-186.572005,106,2316.47116
-207.909022,135,2322.945522
-198.783335,127,2323.996576
-195.883067,116,2324.687066
-193.212151,115,2329.380766
-196.137607,108,2330.36637
-207.141041,142,2330.644287
-191.792328,107,2333.53263
-212.524903,145,2334.413991
-189.762801,107,2349.032187
-201.513756,131,2349.91017
-185.282619,105,2351.711532
-206.309628,138,2354.930871
-189.360746,113,2358.598404
-177.499601,102,2360.884351
-213.283199,145,2361.248834
-212.349442,146,2361.882943
-190.105632,106,2363.573009
-183.659475,105,2371.073378
-199.76645,138,2374.817817
-184.838658,112,2383.118618
-200.86181,142,2385.140462
-192.592788,114,2387.467807
-212.936748,144,2389.486111
-193.566315,114,2398.871497
-205.032621,141,2399.869153
-191.887014,123,2405.273402
-189.078981,113,2414.896448
-216.05488,149,2446.012116
-212.92007,144,2447.21182
-193.536637,115,2448.277869
-217.446203,148,2455.143106
-193.687772,125,2466.377059
-215.893944,149,2472.441683
-193.150996,114,2498.533772
-210.331273,140,2509.098182
-186.932097,105,2514.133524
-197.343471,127,2514.487147
-198.23284,113,2518.096652
-197.857895,114,2518.261712
-184.085803,111,2521.812256
-189.325204,112,2525.188157
-209.382167,139,2529.082881
-196.348063,108,2534.716574
-196.163546,114,2534.816047
-199.679255,115,2538.356637
-192.132382,113,2541.435568
-211.632583,142,2543.906503
-212.821008,132,2545.506594
-203.318561,135,2547.042606
-210.534845,132,2548.231111
-192.675359,113,2548.489037
-198.034094,129,2549.082265
-200.042259,115,2549.501856
-190.403162,105,2553.197847
-217.444047,136,2562.429532
-200.256623,116,2562.836685
-189.856222,106,2563.49545
-190.650228,106,2567.433328
-195.170454,115,2568.650767
-207.666446,144,2581.079676
-213.108164,137,2581.866915
-196.471758,108,2593.973381
-189.288279,106,2594.386632
-184.503431,105,2595.436356
-197.103552,115,2596.551004
-187.497377,113,2597.953153
-196.603667,108,2599.442919
-191.801621,107,2601.112063
-199.546258,132,2605.131497
-195.047922,115,2608.988691
-202.977398,139,2614.517051
-211.027001,135,2616.713697
-190.617891,115,2619.717265
-197.014439,108,2620.719644
-194.515031,115,2620.923494
-209.605433,140,2621.634895
-188.241313,106,2622.302156
-207.035572,111,2622.555481
-203.450605,138,2625.200717
-188.033081,112,2635.132862
-221.414894,147,2637.003029
-200.594259,109,2637.612165
-202.045361,131,2642.760573
-192.89154,107,2642.939736
-181.87573,105,2643.174159
-213.660827,146,2644.44991
-213.088582,143,2644.841506
-188.724168,114,2645.37831
-191.228994,113,2647.802947
-196.737941,108,2648.66857
-219.169949,147,2650.269093
-194.626949,116,2650.414796
-194.916859,115,2656.308372
-187.205186,107,2656.934162
-203.663817,132,2657.551192
-215.488379,145,2658.466814
-184.195009,105,2659.87215
-198.387152,117,2660.884898
-180.991077,111,2664.304983
-197.550624,131,2666.01842
-185.913412,106,2666.455399
-181.86743,104,2666.886097
-184.268884,105,2667.941848
-199.064225,116,2669.338562
-196.379889,115,2671.377613
-205.700433,147,2677.833839
-188.19135,115,2680.024417
-203.611264,134,2680.14486
-181.967467,105,2686.911948
-192.180585,115,2687.115911
-188.617942,106,2689.517533
-181.890965,105,2690.112019
-195.663908,132,2692.032369
-175.746533,104,2692.842234
-192.039229,115,2698.734509
-188.320339,113,2703.703308
-207.05165,145,2705.514966
-203.935755,147,2710.313306
-185.165115,105,2714.225029
-183.294298,106,2734.29014
-187.659003,112,2734.686334
-191.923421,115,2753.026203
