EpLenMean,EpRewMean,EpThisIter,EpisodesSoFar,SuccessInsertion,TimeElapsed,TimestepsSoFar,ev_tdlam_before,loss_ent,loss_kl,loss_pol_entpen,loss_pol_surr,loss_vf_loss
128.2,-347.89226011970993,89,7035,10,2313.529531955719,1031324,0.8301045745611191,1.0456705,0.0106049,0.0,-0.0015788628,397.76697
150.0,-409.4568110357407,89,7124,11,2341.890716075897,1043174,0.8638718128204346,1.0465586,0.0110921,0.0,-0.0040648845,346.74854
120.0,-327.9081991623413,88,7212,9,2370.461685657501,1055024,0.8595822155475616,1.030262,0.007997441,0.0,-0.008252276,338.22815
150.0,-413.8682841491126,85,7297,6,2397.8203768730164,1066874,0.8818106427788734,1.0138394,0.01064724,0.0,-0.0033618507,211.54997
150.0,-414.00540619064986,83,7380,4,2426.165602684021,1078724,0.8959804847836494,1.0137837,0.006139593,0.0,-0.008632986,145.97845
114.2,-280.5589523974689,82,7462,4,2453.6879506111145,1090689,0.9070675745606422,0.9948465,0.012306415,0.0,-0.006693975,121.49246
150.0,-390.7673300982815,82,7544,3,2480.020691871643,1102539,0.9255180060863495,0.9857341,0.010163408,0.0,0.013092788,83.04851
150.0,-408.6672079133102,80,7624,1,2507.5896315574646,1114389,0.9363627508282661,0.9743639,0.008560528,0.0,-0.007988052,48.813183
120.0,-310.87638389108275,87,7711,8,2534.2318370342255,1126239,0.885596975684166,0.9729876,0.012258495,0.0,-0.004498427,240.28268
150.0,-414.86570957458605,91,7802,13,2561.769042491913,1138089,0.8591371029615402,0.97134805,0.0066092233,0.0,-0.0068186917,430.84784
150.0,-441.8314969732866,86,7888,7,2590.486503601074,1149939,0.8362945467233658,0.97332895,0.010775741,0.0,-0.012535034,288.7357
120.0,-332.69930944085223,88,7976,11,2612.8394622802734,1161789,0.8153433799743652,0.9564711,0.007392414,0.0,-0.0051311227,400.1156
150.0,-436.01700442466154,88,8064,11,2633.371584415436,1173639,0.8334782421588898,0.95155305,0.008511579,0.0,-0.0020445965,349.3996
90.6,-215.1241714386838,92,8156,14,2655.1330580711365,1185489,0.8361432701349258,0.9384102,0.01886367,0.0,-0.002805313,422.34668
120.0,-337.9487621137066,92,8248,13,2676.2168250083923,1197339,0.846326157450676,0.92988455,0.0118608195,0.0,-0.004697618,447.37134
120.0,-304.3492148679064,88,8336,9,2697.7109735012054,1209189,0.8552193343639374,0.9097447,0.009977942,0.0,-0.00980769,356.3798
150.0,-398.68162472919374,84,8420,6,2719.5213255882263,1221039,0.8722721189260483,0.8856502,0.011799062,0.0,-0.003950384,201.67953
150.0,-421.92883974739925,81,8501,4,2739.756416320801,1232889,0.8627847284078598,0.87804204,0.011203539,0.0,-0.0104165645,123.83355
150.0,-410.92335505791823,80,8581,1,2761.78036570549,1244739,0.9171019718050957,0.8589321,0.01128026,0.0,-0.014059868,48.361923
150.0,-414.5323090488731,79,8660,0,2783.3991224765778,1256589,0.9595948457717896,0.8492799,0.0116306115,0.0,-0.014091962,8.261604
150.0,-418.1937205640005,79,8739,0,2804.63964176178,1268439,0.9783436600118876,0.830652,0.01954327,0.0,-0.009668137,3.0962365
150.0,-417.40958983804256,79,8818,0,2825.586224079132,1280289,0.9803474862128496,0.8296676,0.0149659,0.0,-0.010247038,3.7025878
150.0,-415.1600763892878,79,8897,0,2846.4896986484528,1292139,0.9721117541193962,0.8287263,0.0113448715,0.0,-0.008158652,6.8821893
150.0,-413.71227906847207,79,8976,0,2862.70175242424,1303989,0.9690882693976164,0.8220982,0.010878079,0.0,-0.008342417,9.217146
