# {"t_start": 1591404024.9940422, "env_id": "Block2D-v1"} 
r,l,t
-144.525419,146,1571.951393
-113.80194,137,1669.459761
-122.503383,147,2053.735928
-125.097567,146,2118.024492
-123.120304,146,2161.527965
-111.87344,143,2379.678367
-108.370869,142,2415.651391
-112.43915,138,2550.694043
-106.109745,135,2576.616191
-110.483468,146,2581.207522
-114.132843,142,2673.409467
-105.413,137,2676.245807
-107.464716,147,2735.719775
-107.592418,142,2741.056722
-103.851511,136,2775.3399
-107.646449,137,2809.772814
-108.686577,145,2810.786458
-104.690254,137,2898.948486
-100.730119,129,2929.203492
-100.345129,133,2929.869916
-106.640403,135,2997.753531
-97.806623,126,3065.824337
-103.677042,136,3092.562993
-93.560207,124,3124.749442
-102.677785,135,3131.246803
-93.426997,125,3134.399696
-92.813594,129,3166.542483
-91.966438,130,3190.207156
-96.326142,128,3202.226205
-92.475195,126,3253.578641
-91.044382,123,3290.550834
-84.034298,116,3290.703936
-93.61272,128,3324.783191
-87.486112,121,3388.644041
-85.604909,117,3443.185689
-87.170775,120,3448.268435
-79.880909,113,3477.650091
-85.623789,116,3479.441618
-86.10931,118,3513.017583
-84.11207,118,3539.477874
-86.552194,120,3544.448165
-80.249031,114,3545.437557
-86.53756,125,3546.278769
