# {"t_start": 1591267959.6581645, "env_id": "Block2D-v1"} 
r,l,t
-186.254862,132,430.539084
-199.160357,132,433.855053
-183.908591,120,453.457358
-190.249486,128,490.24305
-209.52629,130,499.138565
-180.812365,133,533.690898
-180.834333,140,537.103697
-158.946276,119,565.067528
-147.665254,105,597.046558
-148.841252,105,609.737319
-152.577631,128,651.093068
-141.731888,117,653.532561
-143.090087,120,665.371086
-153.73715,136,673.749769
-114.04974,97,696.648134
-122.024201,102,706.600466
-130.182748,99,709.201506
-137.766558,119,738.161084
-125.246767,105,756.502386
-126.314365,110,802.993153
-106.722042,97,811.848988
-123.743098,114,847.848688
-119.352574,103,897.927266
