# {"t_start": 1591456334.7498837, "env_id": "Block2D-v1"} 
r,l,t
-158.680278,143,5.896752
3.541176,37,6.379551
0.042255,37,6.960601
-188.730732,149,9.998636
-116.820158,109,10.251245
-123.806568,119,10.985958
-172.556016,150,11.741732
-109.930296,111,12.138194
-101.882803,106,14.292359
-107.469127,112,42.256213
-103.571667,103,43.264394
-135.760901,125,46.60807
-113.182044,114,48.653152
-103.757148,107,49.529314
-185.32212,148,53.684699
-107.621266,107,81.328179
-122.361463,112,81.775449
-116.628235,108,81.923013
-104.097711,103,82.802169
-103.879432,110,85.304013
-120.82494,114,86.04779
-126.867019,118,87.235809
-99.061453,104,87.957639
-107.587415,109,89.880197
-110.392628,107,90.612087
-123.401891,120,121.165352
-105.991474,108,123.044038
-154.239876,142,124.086372
-112.007287,108,127.102266
-112.425048,113,129.844895
-104.628842,106,131.858882
-116.105708,110,155.998821
-145.208186,128,159.523513
-103.000078,107,160.969096
-26.387192,49,163.092193
-44.654648,52,191.503374
-132.669568,115,193.931189
-115.400358,112,194.513228
-129.574426,114,194.81054
-124.949028,113,197.300775
-26.489736,50,220.710168
-56.905394,59,222.38397
-125.519461,112,224.242005
-148.551196,121,225.474479
-46.162379,54,225.566426
-55.423868,58,228.596095
-44.370911,54,229.506092
-34.96871,51,229.566818
-65.66017,57,229.834955
-66.673359,60,231.061634
-135.776649,114,232.038435
-59.054503,58,254.951507
-129.598404,119,255.331812
-32.712483,48,256.482298
-150.819508,133,257.453968
-112.488819,108,258.180475
-122.77878,112,259.516188
-38.331033,50,261.451316
-13.013387,43,261.902592
-122.880428,117,262.74763
-119.972269,113,262.895451
-125.80061,112,263.640038
-125.299995,125,264.271549
-38.355956,53,264.662817
-39.791393,52,265.114981
-132.809618,118,266.545775
-146.157901,127,266.863943
-84.014552,100,290.456743
-102.806458,111,290.765544
-99.417161,106,290.916276
-78.884645,94,291.055796
-97.240908,106,291.52442
-101.345255,103,291.836265
-105.074583,103,294.279497
-19.43143,47,294.544914
-93.226906,104,295.21582
-8.306793,41,295.755318
-17.600243,47,296.060615
-100.144278,100,296.160645
-16.871123,47,296.675424
-25.377993,48,297.281397
-129.081881,123,298.399172
-119.989017,113,298.837602
-134.019324,130,300.514725
-10.573838,43,301.470128
-12.573078,43,325.893327
-86.956441,101,326.409287
-12.617207,47,328.318685
-14.060396,45,328.627026
-80.97773,94,328.723839
-90.084813,99,328.993776
-7.596319,44,329.381474
-91.415919,104,330.478958
-107.919872,117,331.088745
-125.688445,123,331.398907
-93.573554,108,331.53668
-15.091254,48,331.789586
-12.60077,45,332.239865
-91.836344,101,332.446364
-87.147828,99,332.745389
-5.229823,44,333.584545
-11.951475,44,333.737634
-12.264906,45,336.885118
-86.330368,98,336.984184
-77.506692,91,359.063109
-99.249433,109,359.539182
-87.168181,102,360.869472
-5.842046,43,361.255611
-10.04643,46,361.553241
-6.112086,42,361.698145
-2.987784,42,362.147877
-8.783764,46,362.197617
