# {"t_start": 1591211774.2856646, "env_id": "Block2D-v1"} 
r,l,t
-102.078964,120,952.812037
-63.295591,68,954.335655
-73.112744,82,1064.937116
-71.159844,103,1140.717317
-63.509485,91,1197.538994
-48.374809,72,1197.956705
-53.656868,89,1216.528584
-59.566001,93,1255.889348
-55.655667,79,1274.628177
-62.201036,99,1310.965799
-52.567202,79,1311.271926
-65.929662,101,4573.610118
-52.48931,89,4592.027547
-61.350472,94,4609.418827
-107.861329,146,4611.282802
-49.52671,72,4626.914289
-65.659664,102,4628.508214
-51.562175,81,4628.751059
-56.665658,94,4628.823013
-54.538974,79,4630.144536
-83.920544,119,4630.762494
-59.615547,99,4631.284591
-65.526848,101,4631.351932
-38.806455,63,4631.398779
-60.431323,95,4631.47942
-47.733427,78,4631.806058
-39.251536,61,4645.426894
-57.280285,90,4645.840255
-43.689149,75,4645.900817
-49.702566,81,4646.101698
-88.895053,117,4646.973775
-51.727902,82,4647.105477
-60.964024,96,4647.24547
-51.410916,82,4648.367324
-31.348521,59,4648.393637
-48.863432,87,4649.318879
-48.334199,81,4650.220595
-37.523436,61,4663.52802
-58.62483,86,4663.736103
-45.677015,61,4663.76282
-51.821387,86,4663.802512
-45.215429,77,4663.998026
-49.016386,79,4664.133057
-38.96059,57,4664.345952
-54.672973,89,4664.42714
-42.276423,60,4664.546952
-56.559222,86,4664.693102
-46.144649,83,4664.897986
-51.626435,89,4665.699421
-35.319661,58,4666.289187
-34.197117,60,4666.807239
-59.484379,93,4666.952644
-34.281955,59,4667.070247
-48.529229,81,4667.279896
-47.091023,76,4667.540551
-45.481879,77,4667.801924
-56.119663,85,4667.871308
-36.356443,62,4668.12503
-57.150716,90,4668.403466
-35.52479,55,4681.585493
-45.08846,76,4681.793399
-39.445877,60,4682.115248
-42.760234,70,4682.18622
-48.737432,81,4682.258144
-42.855715,72,4682.450816
-45.696308,75,4682.714261
-45.939223,73,4682.779071
-36.872893,70,4682.907502
-58.922728,92,4683.380205
-31.240281,54,4683.404217
-42.84996,68,4683.58545
-38.148189,62,4683.613432
-42.253139,75,4683.722954
-43.43529,75,4683.789968
-43.024913,73,4684.399238
-43.078467,73,4684.468803
-31.050555,55,4684.49428
-45.898004,76,4684.969283
-55.276685,87,4685.045054
-40.850322,74,4685.775221
-44.21463,72,4686.383092
-55.685889,86,4686.455578
-40.527127,65,4686.57953
-51.511513,79,4686.786932
-34.724422,63,4686.845457
-34.586354,55,4686.90514
-41.563909,68,4686.980937
-32.495672,54,4700.703164
-44.951985,75,4700.788159
-45.049731,73,4700.822837
-45.655936,79,4700.859894
-50.480107,83,4701.356404
-35.220051,60,4701.385435
-40.030504,64,4701.561207
-40.784903,62,4701.77004
-38.560553,65,4702.049994
-43.170855,70,4702.593484
-38.626749,62,4702.619373
-49.999128,78,4702.661074
-34.555263,55,4703.138058
-41.543974,72,4703.170714
-41.5092,69,4703.211182
-38.436138,70,4703.278929
-52.684261,85,4703.487301
-37.139397,61,4703.545275
-47.56826,73,4703.962752
-56.72648,84,4704.100492
-33.965116,55,4704.488217
-49.632043,80,4704.565917
-32.123143,54,4704.617104
-55.833682,89,4704.697626
-55.493248,88,4704.829038
-33.483191,57,4705.086237
-39.099359,67,4705.115896
-34.771275,55,4705.277237
-48.505175,77,4705.350205
-45.486854,74,4705.553311
-41.389149,71,4705.584445
-49.625899,76,4719.38004
-33.956345,57,4719.659081
-51.699045,77,4719.696563
-39.323604,70,4719.742029
-46.649128,81,4719.895687
-34.32263,60,4719.978151
-39.496525,63,4720.435893
-40.409535,74,4720.470449
-46.878723,79,4720.513496
-37.740179,62,4720.667063
-55.390654,87,4720.752703
-33.246799,56,4720.961584
-37.404573,62,4721.247149
-47.169792,83,4721.286652
-40.969337,68,4721.76661
-33.280541,55,4721.833002
-37.428074,61,4721.970627
-32.063756,56,4722.129734
-45.493901,77,4722.166639
-37.541683,58,4722.341345
-41.524978,71,4722.415531
-32.230859,53,4722.439926
-36.210265,67,4722.643123
-47.104568,76,4722.880856
-55.635289,82,4723.038318
-36.565317,56,4723.101038
-45.607064,83,4723.141623
-33.891388,60,4723.174688
-40.819444,68,4723.536539
-39.891433,73,4723.689412
-45.286291,76,4723.915163
-51.471551,85,4724.23713
-46.078326,76,4724.75093
-41.950915,73,4724.785719
-37.48809,57,4724.883118
-49.244678,80,4725.279977
-34.477316,59,4739.399827
-38.038032,62,4739.544415
-47.396377,80,4739.626639
-53.036178,83,4739.699712
-40.620132,69,4739.913755
-34.659111,58,4739.944407
-31.182934,58,4740.274514
-33.348376,61,4740.346874
-42.640628,74,4740.424687
-43.675025,72,4740.568192
-44.414314,78,4740.642559
-32.184717,54,4740.667871
-44.493578,74,4740.716323
-32.540442,55,4740.745235
-42.323218,73,4740.865865
-37.712244,62,4740.896028
-37.427429,59,4741.076126
-34.784929,61,4741.387434
-42.798872,70,4741.42226
-40.171657,65,4741.461802
-42.776242,69,4741.898497
-42.592183,77,4741.936557
-49.548117,82,4741.977443
-43.993449,68,4742.00918
-39.702629,65,4742.038159
-51.919433,83,4742.205154
-36.149372,60,4742.272847
-45.428259,73,4742.506329
-48.205032,84,4742.682108
-33.381014,60,4742.845955
-41.124532,73,4742.885526
-49.650896,78,4742.93615
-35.639797,57,4743.08247
-33.409877,53,4743.560697
-48.485921,82,4743.738809
-30.846633,55,4743.804581
-44.464626,74,4743.846203
-36.739382,61,4744.052574
-35.247242,56,4744.081288
-52.415385,79,4744.437125
-39.046835,66,4744.57086
-42.050431,72,4744.950083
-39.099338,67,4745.019842
-38.41933,65,4745.090201
-52.877941,85,4745.134758
-45.526042,77,4745.171553
-42.018764,69,4745.243652
-41.563129,70,4759.466079
-43.11704,74,4759.750657
-29.976252,52,4759.814
-43.983662,68,4759.850855
-49.509898,80,4760.042991
-36.706741,59,4760.288656
-36.041834,61,4760.43989
-43.961397,67,4760.519215
-45.259752,76,4760.55509
-37.13013,65,4760.591162
-34.028248,60,4760.624576
-30.773309,55,4760.816831
-35.454648,59,4760.844161
-43.614958,65,4760.892471
-41.434801,68,4760.967191
-45.39289,77,4761.262845
-34.458703,56,4761.29072
-50.539309,82,4761.337642
-31.238542,52,4761.540134
-42.388394,76,4761.576968
-41.245856,71,4761.62087
-35.351564,55,4761.754093
-52.833876,84,4762.34568
-48.711856,77,4762.415593
-32.827162,53,4762.441099
-38.797233,57,4762.547889
-39.460772,68,4762.580295
-51.450002,80,4762.628974
-37.48572,59,4762.656622
-49.115963,80,4762.700134
-35.458495,61,4762.730284
-42.477427,58,4763.064674
-38.305379,69,4763.096759
-72.015287,101,4763.154808
-44.785169,73,4763.350656
-42.466594,70,4763.41814
-41.922429,73,4763.452044
-44.326662,71,4763.8364
-34.097623,59,4763.86376
-45.253377,69,4763.906967
-33.910792,62,4763.936159
-47.717786,75,4763.980525
-41.027876,69,4764.01523
-43.234517,70,4764.260242
-41.026512,63,4764.326819
-50.766547,80,4764.479543
-36.46993,60,4764.506651
-41.184991,66,4764.542126
-35.253323,57,4764.568536
-44.530277,71,4764.681525
-35.74957,55,4764.707447
-40.188031,70,4764.751859
-50.511693,73,4764.786056
-39.057159,64,4764.981457
-34.906854,63,4778.911826
-42.118498,70,4778.984362
-46.114944,78,4779.020446
-46.26547,72,4779.127549
-37.637362,59,4779.155508
-33.031483,57,4779.257983
-44.508344,76,4779.292716
-36.691535,61,4779.402343
-40.28699,65,4779.434218
-41.164637,70,4779.620059
-41.825048,67,4779.651057
-51.048363,80,4779.696328
-40.527496,70,4779.767801
-41.283756,67,4779.919942
-39.868326,67,4780.001661
-46.393735,71,4780.035307
-42.697392,67,4780.073874
-46.082337,73,4780.361428
-30.563466,53,4780.386887
-72.981264,101,4780.447281
-46.099571,78,4780.50548
-37.710243,66,4780.641802
-45.987289,71,4780.67463
-29.118689,53,4780.777433
-33.706021,55,4780.803501
-41.322546,67,4780.856181
-45.352117,77,4780.893279
-41.570269,67,4780.927078
-41.629214,70,4781.271066
-44.562659,71,4781.339043
-54.332446,84,4781.971243
-39.478149,68,4782.034288
-30.95952,56,4782.073796
-35.039985,59,4782.121145
-49.297339,77,4782.338634
-42.842813,70,4782.555351
-46.064402,75,4782.590652
-43.65936,73,4782.626391
-41.322217,69,4782.658477
-35.636654,61,4782.690703
-40.192997,67,4782.836369
-37.433735,62,4782.866468
-37.627529,66,4782.908172
-38.730789,67,4783.119557
-39.91024,68,4783.153093
-36.876248,66,4783.543904
-44.349336,77,4783.580606
-44.556863,72,4783.617076
-43.311737,69,4783.683047
-34.604018,56,4783.707787
-52.587711,76,4783.896793
-30.545089,52,4784.026884
-36.615526,68,4784.059977
-34.945692,66,4784.106894
-49.887139,78,4784.145656
-40.442451,59,4784.177752
-45.517348,77,4784.285996
-44.760787,75,4784.357613
-32.032795,57,4784.382997
-41.490347,68,4784.493041
-47.93527,77,4784.572098
-39.806156,67,4784.60467
-38.137231,67,4798.037642
-43.16088,72,4798.112464
-40.063677,64,4798.178576
-38.996912,68,4798.250995
-37.968405,55,4798.314709
-37.822128,56,4798.341736
-31.01124,53,4798.384287
-41.698096,70,4798.41797
-36.968445,64,4798.460638
-44.686506,71,4798.493876
-43.43892,74,4798.534572
-42.651988,68,4798.565359
-40.417402,71,4798.602236
-43.500411,75,4798.6372
-35.99176,58,4798.806049
-47.170668,74,4798.84184
-41.139095,67,4798.951923
-34.26931,58,4799.325584
-42.552428,70,4799.359262
-38.2293,58,4799.463448
-40.121433,68,4799.494809
-36.623937,59,4799.601688
-36.794025,55,4799.626847
-41.418121,68,4799.823451
-40.352139,68,4799.855947
-43.363564,61,4799.892445
-33.157607,58,4799.964914
-56.892951,85,4800.050451
-36.533031,65,4800.111736
-38.3691,59,4800.138971
-34.748449,58,4800.248568
-46.685051,71,4800.324668
-38.075485,67,4800.356596
-32.882356,60,4800.390762
-42.164004,72,4800.464925
-33.112244,53,4800.48896
-33.972655,62,4800.597147
-39.654364,66,4800.628959
-33.006066,55,4800.736883
-39.447273,67,4801.019267
-44.278018,68,4801.053008
-36.962743,63,4801.091816
-41.423253,69,4801.170471
-40.442786,70,4801.243656
-51.175695,77,4801.283037
-42.660645,67,4801.318286
-47.488455,71,4801.549222
-33.949607,55,4801.684881
-39.79478,62,4801.89496
-43.407791,68,4801.967158
-45.364882,70,4802.003402
-38.908802,68,4802.25217
-42.592082,63,4802.281409
-41.900566,70,4802.388159
-44.661852,74,4802.422466
-42.266512,63,4802.456115
-34.552906,55,4802.663345
-44.249009,70,4802.69794
-45.895461,70,4802.880591
-36.844603,65,4802.948614
-46.002844,72,4803.090625
-41.023439,71,4803.12324
-34.192199,59,4803.155399
-44.844606,70,4803.523625
-33.563007,53,4803.554158
-40.857153,69,4803.667088
-43.964064,72,4803.700073
-43.427493,68,4817.275365
-52.026844,79,4817.352203
-32.397224,55,4817.377541
-44.640037,74,4817.420587
-46.333459,71,4817.45512
-40.012257,61,4817.485478
-41.191588,63,4817.697606
-40.965156,70,4817.769158
-49.312841,69,4817.79896
-42.450713,69,4817.834936
-35.748333,66,4817.865363
-36.021837,59,4817.900615
-32.709259,58,4817.926898
-40.654461,66,4817.973083
-44.444743,71,4818.007106
-38.673506,60,4818.041157
-39.513986,65,4818.071607
-36.860367,65,4818.114941
-34.567723,55,4818.141892
-44.873068,71,4818.194521
-50.832373,78,4818.230733
-46.924454,74,4818.266866
-38.667147,68,4818.404951
-44.080778,70,4818.473734
-52.998437,74,4818.507089
-41.701056,70,4818.557719
-44.730719,70,4818.630746
-35.545785,65,4818.698917
-36.866478,65,4818.729584
-32.255184,54,4818.764049
-38.360112,66,4818.795564
-46.378524,75,4818.844913
-39.585024,68,4818.878829
-53.039841,76,4818.91996
-44.076682,68,4818.953442
-33.698273,54,4819.053423
-33.336841,58,4819.125959
-43.220375,68,4819.158254
-29.921136,52,4819.26274
-43.873731,71,4819.296124
-52.10063,82,4819.411472
-36.178932,55,4819.469118
-34.299734,58,4819.541525
-37.129313,60,4819.684204
-34.162397,58,4819.753365
-37.71034,59,4819.828104
-39.10278,67,4820.040302
-49.530393,73,4820.074243
-38.720649,65,4820.247599
-45.16892,73,4820.2795
-34.504579,55,4820.440626
-37.207837,61,4820.467974
-41.922128,66,4820.745801
-33.934395,58,4820.772881
-37.667819,57,4820.880899
-40.32737,70,4820.913832
-35.961925,66,4820.954969
-40.465008,66,4820.985847
-47.223096,76,4821.029517
-37.071937,64,4821.236742
-43.165974,72,4821.269801
-35.714611,54,4821.30142
-42.501607,67,4821.33409
-37.746514,56,4821.449789
-42.618385,72,4821.484304
-45.805675,69,4821.527734
-50.322988,76,4821.56302
-33.344314,58,4821.662444
-33.03542,54,4821.687309
-41.769729,66,4821.736261
-33.951891,58,4821.76216
-38.096992,65,4821.805599
-46.131082,73,4822.028782
-33.07683,56,4822.091679
-44.373697,69,4822.168769
-36.285512,56,4822.237635
-40.624544,68,4822.310941
-41.755071,68,4822.342369
-32.691195,54,4822.374605
-49.76435,74,4822.40913
-52.861623,82,4822.526609
-35.079365,59,4822.554162
-43.375579,66,4822.659866
-39.267914,66,4822.731589
-33.472183,59,4822.758688
-41.581638,69,4822.803356
-32.722353,59,4836.476918
-36.437157,65,4836.50707
-41.019629,67,4836.5523
-35.373751,59,4836.581012
-41.708901,66,4836.623523
-30.825486,54,4836.649476
-38.342544,69,4836.696906
-36.367941,60,4836.725817
-45.530328,70,4836.768403
-37.771688,57,4836.833885
-39.024514,62,4836.865573
-33.66724,55,4836.908115
-36.425223,60,4836.935555
-34.76124,59,4836.979314
-34.48466,61,4837.007258
-33.530906,59,4837.118804
-34.186821,55,4837.145197
-40.995358,66,4837.192516
-36.122916,59,4837.218471
-37.917766,62,4837.329799
-37.315574,65,4837.359682
-52.558801,78,4837.409426
-43.382654,69,4837.441903
-35.229761,60,4837.470529
-33.642403,57,4837.495463
-43.370301,70,4837.540072
-38.010353,65,4837.570764
-32.083694,54,4837.603142
-42.480395,66,4837.632561
-43.85289,67,4837.676595
-42.038984,65,4837.706318
-35.8747,66,4837.747026
-30.317535,56,4837.773455
-38.575452,64,4837.81688
-42.937386,67,4837.861813
-42.5878,70,4837.912159
-44.008825,70,4838.193139
-45.854682,69,4838.225602
-42.221296,68,4838.277287
-39.715495,57,4838.303135
-45.615833,69,4838.346945
-47.965618,76,4838.381585
-40.27274,64,4838.413688
-42.420925,67,4838.547432
-40.514782,65,4838.577059
-36.507846,55,4838.610874
-45.346997,70,4838.829125
-35.44426,63,4838.860662
-42.549648,66,4838.900685
-43.979704,75,4838.976248
-30.68411,52,4839.0343
-37.623969,57,4839.060601
-35.532674,62,4839.105804
-48.975347,75,4839.14059
-40.841349,64,4839.175379
-45.2501,74,4839.524233
-38.21357,65,4839.553375
-28.375449,51,4839.582113
-37.171801,64,4839.611109
-52.29514,74,4839.658712
-43.591173,70,4839.689106
-39.418563,67,4839.722939
-40.819571,67,4839.75382
-33.042646,56,4839.786568
-37.454735,63,4839.825943
-71.29104,98,4839.885317
-39.309004,67,4839.938649
-39.467118,66,4839.968892
-40.661931,68,4840.095562
-47.526053,75,4840.130827
-48.506839,76,4840.171138
-43.819683,67,4840.238333
-42.948314,69,4840.272778
-40.818029,64,4840.323368
-46.652471,68,4840.355809
-39.770336,66,4840.394774
-39.797043,63,4840.424319
-39.244332,65,4840.463899
-44.812986,71,4840.496281
-36.8746,65,4840.532355
-32.907767,54,4840.558313
-33.012517,55,4840.664133
-34.988149,59,4840.734513
-33.156996,53,4840.758271
-41.63533,67,4840.807003
-40.796259,68,4840.838211
-42.009185,69,4840.877565
-42.79332,70,4840.909036
-30.314988,54,4840.937339
-34.443345,58,4840.963022
-41.121064,66,4841.010507
-46.592428,69,4841.079911
-32.698638,53,4841.104284
-46.627387,76,4841.224913
-39.466263,67,4841.255732
-40.029559,67,4841.291347
-40.175975,65,4841.359841
-43.324713,72,4841.393163
-43.512757,67,4841.430266
-40.609896,65,4841.461089
-41.905246,69,4841.503474
-40.801537,65,4841.537252
-51.790112,72,4841.579
-45.116194,70,4841.613737
-34.033154,58,4841.645975
-38.366071,63,4841.676372
-44.536054,69,4841.723822
-45.025245,73,4841.759154
-35.491637,61,4841.791886
-46.495657,68,4841.866384
-36.684125,64,4841.896669
-39.21696,66,4841.936329
-40.970377,65,4841.965339
-37.604448,55,4841.999045
-32.281986,53,4842.024263
-43.766486,74,4842.078302
-37.397931,65,4842.108361
-39.961834,66,4855.643443
-48.428584,69,4855.675077
-43.928721,66,4855.712741
-38.413233,66,4855.743345
-35.698821,62,4855.780779
-49.954613,77,4855.816408
-45.68974,58,4855.919405
-42.358137,69,4855.951542
-40.766279,64,4855.993295
-37.858123,58,4856.020243
-36.136207,59,4856.060241
-35.506891,61,4856.089217
-38.480937,64,4856.133445
-43.170239,68,4856.271706
-48.24455,76,4856.307467
-55.756407,74,4856.343971
-37.30766,62,4856.372987
